日期,日期_mmdd,播出時間,歌曲名稱,演唱(奏)者,專輯,出版者,CD編號,dt_days_ago,page,scraped_at
2026-07-25,07/25,00:00,棋子,方泂鑌(阿鑌),壞人情歌:遺憾,,,1,1,2026-07-26T01:01:49
2026-07-25,07/25,00:05,YOU'RE THE INSPIRATION,CHICAGO,WOMAN IN LOVE VOL.6,,,1,1,2026-07-26T01:01:49
2026-07-25,07/25,00:09,男人不該讓女人流淚,蘇永康+任賢齊@男人幫,男人幫,,,1,1,2026-07-26T01:01:49
2026-07-25,07/25,00:13,回家,小男孩樂團,滾石40系列「滾石撞樂隊，40團拼經典」,,,1,1,2026-07-26T01:01:49
2026-07-25,07/25,00:18,春風少年兄,林強,春風少年兄,,,1,1,2026-07-26T01:01:49
2026-07-25,07/25,00:23,天空與你之間(日),中島美雪,SINGLES 2000,,,1,1,2026-07-26T01:01:49
2026-07-25,07/25,00:29,掉了,阿密特,阿密特 意識專輯,,,1,1,2026-07-26T01:01:49
2026-07-25,07/25,00:33,GREAT EXPECTATION,SIENNA SPIRO(席亞娜),VISITOR,,,1,1,2026-07-26T01:01:49
2026-07-25,07/25,00:37,有一種悲傷,A-LIN,比悲傷更悲傷的故事 電影主題曲,,,1,1,2026-07-26T01:01:49
2026-07-25,07/25,00:41,淚海,季忠平,想家,,,1,1,2026-07-26T01:01:49
2026-07-25,07/25,00:45,微加幸福,郁可唯,微加幸福,,,1,1,2026-07-26T01:01:49
2026-07-25,07/25,00:50,LONELY,AKON,TROUBLE,,,1,1,2026-07-26T01:01:49
2026-07-25,07/25,00:55,靠近,庾澄慶,靠近,,,1,2,2026-07-26T01:01:51
2026-07-25,07/25,01:00,如果還有明天,薛岳,生老病死,,,1,2,2026-07-26T01:01:51
2026-07-25,07/25,01:06,WHAT'S UP,4 NON BLONDES,"BIGGER,BETTER,FASTER,MORE!",,,1,2,2026-07-26T01:01:51
2026-07-25,07/25,01:13,快遞愛情,黃湘怡,快遞愛情,,,1,2,2026-07-26T01:01:51
2026-07-25,07/25,01:17,LOVE SO SWEET(日),嵐(ARASHI),1999-2009 完全精選,,,1,2,2026-07-26T01:01:51
2026-07-25,07/25,01:23,如果的事,范瑋琪 / 張韶涵,一比一,,,1,2,2026-07-26T01:01:51
2026-07-25,07/25,01:27,命運,家家,蘭陵王 戲劇原聲帶,,,1,2,2026-07-26T01:01:51
2026-07-25,07/25,01:31,UNFORGETTABLE,NATALIE COLE / NAT KING COLE,UNFORGETTABLE WITH LOVE,,,1,2,2026-07-26T01:01:51
2026-07-25,07/25,01:35,綿綿無絕期,阿斌 黃奇斌,虛華的夢想是一支刀,,,1,2,2026-07-26T01:01:51
2026-07-25,07/25,01:39,我很醜可是我很溫柔(魚 IN SUMMER),魚丁糸,無與倫比的美麗(魚版),,,1,2,2026-07-26T01:01:51
