日期,日期_mmdd,播出時間,歌曲名稱,演唱(奏)者,專輯,出版者,CD編號,dt_days_ago,page,scraped_at
2026-06-29,06/29,00:55,我是女生,徐懷鈺,徐懷鈺第一張個人專輯,,,1,2,2026-06-30T02:09:53
2026-06-29,06/29,01:00,HONEY(國),郭書瑤,首張同名專輯HONEY,,,1,2,2026-06-30T02:09:53
2026-06-29,06/29,01:03,ISLANDS IN THE STREAM,KENNY ROGERS / DOLLY PARTON,EYES THAT SEE IN THE DARK,,,1,2,2026-06-30T02:09:53
2026-06-29,06/29,01:07,散了吧,林志炫,散了吧,,,1,2,2026-06-30T02:09:53
2026-06-29,06/29,01:12,喜歡你現在的樣子,紀文惠,愛．啟程 LOVE IS ON THE WAY,,,1,2,2026-06-30T02:09:53
2026-06-29,06/29,01:17,離開憂鬱的習慣,周慧敏,離開憂鬱的習慣,,,1,2,2026-06-30T02:09:53
2026-06-29,06/29,01:21,TIME TO SAY GOODBYE,ANDREA BOCELLI / MATTEO BOCELLI,DUETS(對唱經典),,,1,2,2026-06-30T02:09:53
2026-06-29,06/29,01:26,在你背影守候,辛曉琪,守候,,,1,2,2026-06-30T02:09:53
2026-06-29,06/29,01:32,懷念,蔡依林,唯舞獨尊演唱會鮮聽版 & 混音專輯,,,1,2,2026-06-30T02:09:53
2026-06-29,06/29,01:35,離開我,陶晶瑩,我變了,,,1,2,2026-06-30T02:09:53
2026-06-29,06/29,01:41,KURUMI(日),MR.CHILDREN,至福之音,,,1,2,2026-06-30T02:09:53
2026-06-29,06/29,01:46,替我照顧她(DEMO版),張簡君偉,,,,1,2,2026-06-30T02:09:53
2026-06-29,06/29,01:49,我要你好好的,劉若英 / 周迅 / 桂綸鎂 / 湯唯,我要你好好的,,,1,3,2026-06-30T02:09:55
2026-06-29,06/29,01:54,LONELY,AKON,TROUBLE,,,1,3,2026-06-30T02:09:55
2026-06-29,06/29,01:58,CIRCLE LINE,菅野洋子,蜂蜜幸運草 電影原聲帶,,,1,3,2026-06-30T02:09:55
2026-06-29,06/29,02:00,情鎖,蔡琴,傷心小站,,,1,3,2026-06-30T02:09:55
2026-06-29,06/29,02:04,愛那麼重,巫啟賢,愛那麼重,,,1,3,2026-06-30T02:09:55
2026-06-29,06/29,02:09,如煙,艾怡良,女也 HERSTORY WITH MAYDAY,,,1,3,2026-06-30T02:09:55
2026-06-29,06/29,02:15,永遠的夢,趙詠華,相見太晚新歌+精選,,,1,3,2026-06-30T02:09:55
2026-06-29,06/29,02:19,PIECE BY PIECE,KELLY CLARKSON,,,,1,3,2026-06-30T02:09:55
2026-06-29,06/29,02:23,少女,林宥嘉,王,,,1,3,2026-06-30T02:09:55
2026-06-29,06/29,02:27,傷心的人別聽慢歌,五月天,步步自選作品輯,,,1,3,2026-06-30T02:09:55
2026-06-29,06/29,02:31,BABY ONE MORE TIME,BRITNEY SPEARS,BABY ONE MORE TIME(愛的初告白),,,1,3,2026-06-30T02:09:55
2026-06-29,06/29,02:34,THE ASTRONAUT(韓),JIN(BTS防彈少年團),,,,1,3,2026-06-30T02:09:55
2026-06-29,06/29,02:39,寓言,張韶涵,OVER THE RAINBOW,,,1,4,2026-06-30T02:09:58
2026-06-29,06/29,02:43,千里之外,周杰倫 / 費玉清,依然范特西,,,1,4,2026-06-30T02:09:58
2026-06-29,06/29,02:47,LOST IN LOVE,AIR SUPPLY,LOST IN LOVE,,,1,4,2026-06-30T02:09:58
2026-06-29,06/29,02:51,回到原點,MATZKA(瑪斯卡),回到原點,,,1,4,2026-06-30T02:09:58
2026-06-29,06/29,02:56,LEMON TREE(國),JOANNA王若琳,THE THINGS WE DO FOR LOVE為愛做的一切,,,1,4,2026-06-30T02:09:58
2026-06-29,06/29,02:59,'TIS SO SWEET/THE SOLID ROCK,BRUCE & LISA,LORD OF THE HYMN,,,1,4,2026-06-30T02:09:58
2026-06-29,06/29,03:00,我不是愛過就算的人,蘇永康,愛一個人好難,,,1,4,2026-06-30T02:09:58
2026-06-29,06/29,03:04,新相信未來,動靜樂團,君臨天下 遊戲主題曲,,,1,4,2026-06-30T02:09:58
2026-06-29,06/29,03:09,某年某月某一天,ENERGY,E3,,,1,4,2026-06-30T02:09:58
2026-06-29,06/29,03:13,愛情,莫文蔚,我要說,,,1,4,2026-06-30T02:09:58
2026-06-29,06/29,03:18,歲月這把刀,林凡,歲月這把刀,,,1,4,2026-06-30T02:09:58
2026-06-29,06/29,03:22,分手的預感(日),夏川里美 / 鄧麗君,經典美聲之旅~亞細亞之風,,,1,4,2026-06-30T02:09:58
2026-06-29,06/29,03:26,不留,李榮浩,iTunes SESSIONS,,,1,5,2026-06-30T02:10:00
2026-06-29,06/29,03:31,愛情36計,蔡依林,城堡,,,1,5,2026-06-30T02:10:00
