日期,日期_mmdd,播出時間,歌曲名稱,演唱(奏)者,專輯,出版者,CD編號,dt_days_ago,page,scraped_at
2026-08-18,08/18,00:51,不讓我的眼淚陪我過夜,周蕙,不被遺忘的時光 2,,,1,2,2026-08-19T00:33:40
2026-08-18,08/18,00:55,WHAT'S LOVE GOT TO DO WITH IT,TINA TURNER,PRIVATE DANCER,,,1,2,2026-08-19T00:33:40
2026-08-18,08/18,01:00,情比姐妹深,錦繡二重唱,情比姐妹深,,,1,2,2026-08-19T00:33:40
2026-08-18,08/18,01:04,是否我真的一無所有,王傑,是否我真的一無所有,,,1,2,2026-08-19T00:33:40
2026-08-18,08/18,01:09,真情作祟,李亞明,放輕鬆,,,1,2,2026-08-19T00:33:40
2026-08-18,08/18,01:12,指望,郁可唯,藍短褲,,,1,2,2026-08-19T00:33:40
2026-08-18,08/18,01:16,LET IT GO,JAMES BAY(詹姆斯貝),CHAOS AND THE CALM(喧囂與寂靜),,,1,2,2026-08-19T00:33:40
2026-08-18,08/18,01:20,那年夏天寧靜的海,王心凌,MAGIC CYNDI,,,1,2,2026-08-19T00:33:40
2026-08-18,08/18,01:25,不在乎,icyball(冰球樂團),我很抱歉,,,1,2,2026-08-19T00:33:40
2026-08-18,08/18,01:28,TO BE WITH YOU,MR.BIG,LEAN INTO IT(撲身而入),,,1,2,2026-08-19T00:33:40
2026-08-18,08/18,01:32,永遠在身邊,大嘴巴(DA MOUTH),王元口力口,,,1,2,2026-08-19T00:33:40
2026-08-18,08/18,01:36,路邊野餐,白安,,,,1,2,2026-08-19T00:33:40
2026-08-18,08/18,01:40,MON SOLEIL 我的太陽,ASHLEY PARK,EMILY IN PARIS 戲劇原聲帶,,,1,3,2026-08-19T00:33:42
2026-08-18,08/18,01:44,你怎麼連話都說不清楚,蔡依林,LUCKY NUMBER,,,1,3,2026-08-19T00:33:42
2026-08-18,08/18,01:49,廁所女神,植村花菜,花菜~MY FAVORITE THINGS,,,1,3,2026-08-19T00:33:42
2026-08-18,08/18,01:52,愛你的宿命,張信哲,還愛,,,1,3,2026-08-19T00:33:42
2026-08-18,08/18,01:56,WITHOUT YOU,KODALINE(柯達線樂團),,,,1,3,2026-08-19T00:33:42
