日期,日期_mmdd,播出時間,歌曲名稱,演唱(奏)者,專輯,出版者,CD編號,dt_days_ago,page,scraped_at
2026-06-14,06/14,00:00,相思如麻,邰正宵,相思如麻,,,1,1,2026-06-15T01:22:13
2026-06-14,06/14,00:06,LOVE WILL KEEP US ALIVE,EAGLES,COMPLETE GREATEST HITS,,,1,1,2026-06-15T01:22:13
2026-06-14,06/14,00:10,光芒,F.I.R.飛兒樂團,F.I.R.(飛兒樂團),,,1,1,2026-06-15T01:22:13
2026-06-14,06/14,00:14,BET ON ME(國),男公館,男公館 影集主題曲,,,1,1,2026-06-15T01:22:13
2026-06-14,06/14,00:18,回來吧(韓),SE7EN,JUST LISTEN...,,,1,1,2026-06-15T01:22:13
2026-06-14,06/14,00:22,在這座城市遺失了你,告五人,運氣來得若有似無,,,1,1,2026-06-15T01:22:13
2026-06-14,06/14,00:29,寶貝(IN THE NIGHT),張懸,MY LIFE WILL,,,1,1,2026-06-15T01:22:13
2026-06-14,06/14,00:32,海嘯,庾澄慶,海嘯,,,1,1,2026-06-15T01:22:13
2026-06-14,06/14,00:37,SHALLOW,LADY GAGA / BRADLEY COOPER,一個巨星的誕生(A STAR IS BORN)電影原聲帶,,,1,1,2026-06-15T01:22:13
2026-06-14,06/14,00:41,你喜歡的會有幾個,周華健,我願意去等,,,1,1,2026-06-15T01:22:13
2026-06-14,06/14,00:46,我只在乎你,蕭蕭,我只在乎你 電視劇,,,1,1,2026-06-15T01:22:13
2026-06-14,06/14,00:49,CHANDELIER,SIA,1000 FORMS OF FEAR(一千種恐懼),,,1,1,2026-06-15T01:22:13
2026-06-14,06/14,00:53,溜溜的情歌,莫文蔚,回蔚,,,1,2,2026-06-15T01:22:30
2026-06-14,06/14,00:57,愛人錯過,GJ蔣卓嘉,,,,1,2,2026-06-15T01:22:30
2026-06-14,06/14,01:00,領悟,辛曉琪,領悟,,,1,2,2026-06-15T01:22:30
2026-06-14,06/14,01:06,I WILL ALWAYS LOVE YOU,樹里KARAN,SHE-LOVE JAZZ,,,1,2,2026-06-15T01:22:30
2026-06-14,06/14,01:11,這個世界,黃建為,夏樹的期待 單曲,,,1,2,2026-06-15T01:22:30
2026-06-14,06/14,01:14,廟會,王夢麟,,,,1,2,2026-06-15T01:22:30
2026-06-14,06/14,01:18,SING,DIANA PANTON(黛安娜潘頓),我的小世界(I BELIEVE IN LITTLE THINGS),,,1,2,2026-06-15T01:22:30
2026-06-14,06/14,01:23,寧夏,郁可唯,微加幸福,,,1,2,2026-06-15T01:22:30
2026-06-14,06/14,01:28,未拆的禮物,品冠,未拆的禮物,,,1,2,2026-06-15T01:22:30
2026-06-14,06/14,01:32,BRING HIM HOME,JOSH GROBAN,STAGES(美聲舞台:百老匯名曲禮讚),,,1,2,2026-06-15T01:22:30
2026-06-14,06/14,01:36,一字一句,蘇震洋,CHAPTER 1:光,,,1,2,2026-06-15T01:22:30
2026-06-14,06/14,01:41,聽風的歌,關淑怡,亂了,,,1,2,2026-06-15T01:22:30
2026-06-14,06/14,01:44,天天年輕,張清芳,紫色的聲音,,,1,3,2026-06-15T01:22:31
2026-06-14,06/14,01:47,生日快樂,伍思凱,心動了,,,1,3,2026-06-15T01:22:31
2026-06-14,06/14,01:50,LOVE YOURSELF,JUSTIN BIEBER,我的決心(PURPOSE),,,1,3,2026-06-15T01:22:31
2026-06-14,06/14,01:55,FRAGILE脆弱(日),小事樂團(EVERY LITTLE THING),小事精選 2,,,1,3,2026-06-15T01:22:31
2026-06-14,06/14,02:00,我可以,蔡旻佑,,,,1,3,2026-06-15T01:22:31
2026-06-14,06/14,02:06,HOLD ON TO THE NIGHT,RICHARD MARX,RICHARD MARX,,,1,3,2026-06-15T01:22:31
2026-06-14,06/14,02:11,睡到世界末日,李心潔,BYE BYE 童年,,,1,3,2026-06-15T01:22:31
2026-06-14,06/14,02:13,我還是愛著你,MP魔幻力量,戰神,,,1,3,2026-06-15T01:22:31
2026-06-14,06/14,02:18,我在想你的時候睡著了,劉若英,親愛的路人,,,1,3,2026-06-15T01:22:31
2026-06-14,06/14,02:24,BLUEBEARD,COCTEAU TWINS,FOUR-CALENDAR CAFE(四季咖啡廳),,,1,3,2026-06-15T01:22:31
2026-06-14,06/14,02:28,台北夜空下,JULIA吳卓源,1:28,,,1,3,2026-06-15T01:22:31
2026-06-14,06/14,02:31,TAKE MY BREATH AWAY,BERLIN,悍衛戰士(TOP GUN)電影原聲帶,,,1,3,2026-06-15T01:22:31
2026-06-14,06/14,02:37,L.A.N.D.Y(國),溫嵐(LANDY),有點野,,,1,4,2026-06-15T01:22:33
2026-06-14,06/14,02:40,我知道我不夠漂亮,陶晶瑩,漂亮,,,1,4,2026-06-15T01:22:33
2026-06-14,06/14,02:45,為妳寫的歌,方大同,橙月 ORANGE MOON,,,1,4,2026-06-15T01:22:33
2026-06-14,06/14,02:48,找尋著妳~NEW JERSEY UNITED~(日),化學超男子(CHEMISTRY),ALL THE BEST,,,1,4,2026-06-15T01:22:33
2026-06-14,06/14,02:54,親密愛人,梅艷芳,親密愛人,,,1,4,2026-06-15T01:22:33
2026-06-14,06/14,03:00,算不算是一對戀人,李明依 / 庹宗華,李明依小女生,,,1,4,2026-06-15T01:22:33
2026-06-14,06/14,03:04,有你的快樂,JOANNA王若琳,START FROM HERE,,,1,4,2026-06-15T01:22:33
2026-06-14,06/14,03:07,HOW DEEP IS YOUR LOVE,BEE GEES,SATURDAY NIGHT FEVER,,,1,4,2026-06-15T01:22:33
2026-06-14,06/14,03:12,戒情人,鄭中基,戒情人,,,1,4,2026-06-15T01:22:33
2026-06-14,06/14,03:15,無聲,許富凱,,,,1,4,2026-06-15T01:22:33
2026-06-14,06/14,03:20,我要快樂,張惠妹,我要快樂,,,1,4,2026-06-15T01:22:33
2026-06-14,06/14,03:24,CANTO DELLA TERRA 大地情歌,ANDREA BOCELLI / A-LIN,DUETS(對唱經典),,,1,4,2026-06-15T01:22:33
2026-06-14,06/14,03:29,非你不可,陳勢安,非你不可,,,1,5,2026-06-15T01:22:35
2026-06-14,06/14,03:33,聽不到,五月天,時光機,,,1,5,2026-06-15T01:22:35
2026-06-14,06/14,03:38,擁抱,歐陽菲菲,超時空音樂女王 新歌+精選,,,1,5,2026-06-15T01:22:35
2026-06-14,06/14,03:43,HAPPY BIRTHDAY(日),BoA(寶兒),千顏兒語(THE FACE),,,1,5,2026-06-15T01:22:35
2026-06-14,06/14,03:47,月光,王心凌,CYNDI LOVES U,,,1,5,2026-06-15T01:22:35
2026-06-14,06/14,03:51,STUCK WITH YOU,ARIANA GRANDE(亞莉安娜.格蘭德) / JUSTIN BIEBER,,,,1,5,2026-06-15T01:22:35
2026-06-14,06/14,03:55,愛了就算,蘇慧倫 / 成龍,鴨子,,,1,5,2026-06-15T01:22:35
2026-06-14,06/14,04:00,忘了愛,范逸臣,信仰愛情,,,1,5,2026-06-15T01:22:35
2026-06-14,06/14,04:05,狂悲狂喜,游鴻明,狂悲狂喜,,,1,5,2026-06-15T01:22:35
2026-06-14,06/14,04:09,墜入情網~FALL IN LOVE~(日),徐若瑄,NATURAL BEAUTY天生尤物,,,1,5,2026-06-15T01:22:35
2026-06-14,06/14,04:14,好想好好愛你,周蕙,精選二,,,1,5,2026-06-15T01:22:35
2026-06-14,06/14,04:18,CAN'T HELP FALLING IN LOVE,KACEY MUSGRAVES,ELVIS(貓王艾維斯) 電影原聲帶,,,1,5,2026-06-15T01:22:35
2026-06-14,06/14,04:21,反方向,光良,絕類,,,1,6,2026-06-15T01:22:37
2026-06-14,06/14,04:25,I DO(CHERISH YOU),MARK WILLS,EVERLASTING LOVE SONGS,,,1,6,2026-06-15T01:22:37
2026-06-14,06/14,04:29,跟著感覺走,蘇芮,蘇芮經典,,,1,6,2026-06-15T01:22:37
2026-06-14,06/14,04:33,愛情沒有答案,丁噹,離家出走,,,1,6,2026-06-15T01:22:37
2026-06-14,06/14,04:37,美麗的女生,陳珊妮,我從來不是幽默的女生,,,1,6,2026-06-15T01:22:37
2026-06-14,06/14,04:42,KILLING ME SOFTLY(WITH HIS SONG),FUGEES(難民營),FUGEES GREATEST HITS(難民營精選集),,,1,6,2026-06-15T01:22:37
2026-06-14,06/14,04:47,模特,李榮浩,模特,,,1,6,2026-06-15T01:22:37
2026-06-14,06/14,04:52,LAY ME DOWN,SAM SMITH / JOHN LEGEND,,,,1,6,2026-06-15T01:22:37
2026-06-14,06/14,04:55,上水的花,蕭煌奇,上水的花,,,1,6,2026-06-15T01:22:37
2026-06-14,06/14,05:00,就要愛了嗎,蘇慧倫,就要愛了嗎,,,1,6,2026-06-15T01:22:37
2026-06-14,06/14,05:04,囚鳥,張宇,溫古知新,,,1,6,2026-06-15T01:22:37
2026-06-14,06/14,05:08,WHEN I FALL IN LOVE,RUSSELL WATSON(羅素華生),THAT'S LIFE(縱情人生),,,1,6,2026-06-15T01:22:37
2026-06-14,06/14,05:12,留不住的故事,張清芳,雙陳故事,,,1,7,2026-06-15T01:22:39
2026-06-14,06/14,05:17,我對你的愛沒有盡頭,蕭秉治,完人,,,1,7,2026-06-15T01:22:39
2026-06-14,06/14,05:21,莫斯科沒有眼淚,TWINS,見習愛神,,,1,7,2026-06-15T01:22:39
2026-06-14,06/14,05:24,MILLION REASONS,LADY GAGA,喬安(JOANNE),,,1,7,2026-06-15T01:22:39
2026-06-14,06/14,05:28,原味的夏天,邱澤,REMEMBER,,,1,7,2026-06-15T01:22:39
2026-06-14,06/14,05:32,快樂為主,許慧欣,快樂為主,,,1,7,2026-06-15T01:22:39
2026-06-14,06/14,05:36,最精彩的豔遇,郭靜,豔遇,,,1,7,2026-06-15T01:22:39
2026-06-14,06/14,05:39,LOVE IS OVER(日),青山黛瑪,青山黛瑪單曲影音全精選,,,1,7,2026-06-15T01:22:39
2026-06-14,06/14,05:44,無情的情書,動力火車,無情的情書,,,1,7,2026-06-15T01:22:39
2026-06-14,06/14,05:49,I WANT TO KNOW WHAT LOVE IS,FOREIGNER,AGENT PROVOCATEUR,,,1,7,2026-06-15T01:22:39
2026-06-14,06/14,05:54,秘密,獅子合唱團,REPLAY,,,1,7,2026-06-15T01:22:39
2026-06-14,06/14,06:00,永遠在身邊,大嘴巴(DA MOUTH),王元口力口,,,1,7,2026-06-15T01:22:39
2026-06-14,06/14,06:05,星星堆滿天,老王樂隊,滾石40系列「滾石撞樂隊，40團拼經典」,,,1,8,2026-06-15T01:22:41
2026-06-14,06/14,06:10,SUPERMAN(國),曹格,SUPERMAN,,,1,8,2026-06-15T01:22:41
2026-06-14,06/14,06:14,這一刻(THE MOMENT),孫燕姿,THE MOMENT,,,1,8,2026-06-15T01:22:41
2026-06-14,06/14,06:18,誰,萬芳 / KOUMIS蓓麗,一半。萬芳的小劇場,,,1,8,2026-06-15T01:22:41
2026-06-14,06/14,06:23,AND I LOVE YOU SO,DON McLEAN,TAPESTRY,,,1,8,2026-06-15T01:22:41
2026-06-14,06/14,06:27,SAY FOREVER(國),丁噹,SAY FOREVER(國) 單曲,,,1,8,2026-06-15T01:22:41
2026-06-14,06/14,06:32,有夢你會紅,吳宗憲,你比從前快樂,,,1,8,2026-06-15T01:22:41
2026-06-14,06/14,06:35,快樂頌,頂尖拍檔,頂尖拍檔,,,1,8,2026-06-15T01:22:41
2026-06-14,06/14,06:39,心花開,李千娜,愛 到站了,,,1,8,2026-06-15T01:22:41
