日期,日期_mmdd,播出時間,歌曲名稱,演唱(奏)者,專輯,出版者,CD編號,dt_days_ago,page,scraped_at
2026-01-21,01/21,00:51,喜歡你,陳潔儀,傷心,,,1,2,2026-01-22T00:56:21
2026-01-21,01/21,00:55,孤單芭蕾,許慧欣,孤單芭蕾,,,1,2,2026-01-22T00:56:21
2026-01-21,01/21,01:00,然而,陳昇,貪婪之歌,,,1,2,2026-01-22T00:56:21
2026-01-21,01/21,01:04,BEAUTIFUL BOY(DARLING BOY),JOHN LENNON,DOUBLE FANTASY,,,1,2,2026-01-22T00:56:21
2026-01-21,01/21,01:07,心願便利貼,元若藍 / 吳忠明,命中注定我愛你 電視原聲帶,,,1,2,2026-01-22T00:56:21
2026-01-21,01/21,01:12,ONE THING,ONE DIRECTION(1世代),UP ALL NIGHT(青春無敵),,,1,2,2026-01-22T00:56:21
2026-01-21,01/21,01:15,靠近一點點,梁心頤(LARA),惡作劇之吻 電視原聲帶,,,1,2,2026-01-22T00:56:21
2026-01-21,01/21,01:18,喜歡你現在的樣子,紀文惠,愛．啟程 LOVE IS ON THE WAY,,,1,2,2026-01-22T00:56:21
2026-01-21,01/21,01:23,等得到,許茹芸,如影隨心 電影主題曲,,,1,2,2026-01-22T00:56:21
2026-01-21,01/21,01:28,NO.1(日),BoA(寶兒),獨一無二(NO.1),,,1,2,2026-01-22T00:56:21
2026-01-21,01/21,01:31,DANCE UNTIL WE DIE,吳建豪,DANCE UNTIL WE DIE,,,1,2,2026-01-22T00:56:21
2026-01-21,01/21,01:35,HELLO(國),蕭敬騰 / 林俊傑,,,,1,2,2026-01-22T00:56:21
2026-01-21,01/21,01:40,草戒指,神木與瞳Y2J,為你而活,,,1,3,2026-01-22T00:56:23
2026-01-21,01/21,01:44,光陰的故事,張艾嘉,童年,,,1,3,2026-01-22T00:56:23
2026-01-21,01/21,01:47,曖昧(2025 Version),楊丞琳,有且,,,1,3,2026-01-22T00:56:23
2026-01-21,01/21,01:51,夠了,李度,夠了,,,1,3,2026-01-22T00:56:23
2026-01-21,01/21,01:55,隨愛而飛,彭羚,隨愛而飛,,,1,3,2026-01-22T00:56:23
2026-01-21,01/21,02:00,敲敲我的頭,彭佳慧,敲敲我的頭,,,1,3,2026-01-22T00:56:23
2026-01-21,01/21,02:04,IT'S TOO LATE,JAMES MORRISON,SINGLE,,,1,3,2026-01-22T00:56:23
2026-01-21,01/21,02:08,愛情黑皮書,庾澄慶,只有為你,,,1,3,2026-01-22T00:56:23
2026-01-21,01/21,02:12,夢中人(粵),王菲,夢中人,,,1,3,2026-01-22T00:56:23
2026-01-21,01/21,02:16,SILENT ALL THESE YEARS,TORI AMOS,LITTLE EARTHQUAKES(小地震),,,1,3,2026-01-22T00:56:23
2026-01-21,01/21,02:20,笑忘書,李榮浩,iTunes SESSIONS,,,1,3,2026-01-22T00:56:23
2026-01-21,01/21,02:25,她一定很愛你,2個女生,READY TO FLY,,,1,3,2026-01-22T00:56:23
2026-01-21,01/21,02:30,"DON'T WORRY, BE HAPPY",BOBBY McFERRIN,雞尾酒(COCKTAIL)電影原聲帶,,,1,4,2026-01-22T00:56:26
2026-01-21,01/21,02:35,一起走,SEVENTOEIGHT,,,,1,4,2026-01-22T00:56:26
2026-01-21,01/21,02:38,流浪地圖,孫燕姿,完美的一天,,,1,4,2026-01-22T00:56:26
2026-01-21,01/21,02:42,失落沙洲,徐佳瑩,徐佳瑩LA LA首張創作專輯,,,1,4,2026-01-22T00:56:26
2026-01-21,01/21,02:47,大約在冬季,齊秦,冬雨,,,1,4,2026-01-22T00:56:26
2026-01-21,01/21,02:51,MOONLIGHT(日)-BINAURAL RECORDING VER.-,沐月(MOUMOON),ACOMOON,,,1,4,2026-01-22T00:56:26
2026-01-21,01/21,02:55,永遠的畫面,張惠妹,真實,,,1,4,2026-01-22T00:56:26
2026-01-21,01/21,03:00,還是會,韋禮安,我可能不會愛你 電視原聲帶,,,1,4,2026-01-22T00:56:26
2026-01-21,01/21,03:04,NICE TO MEET YOU,IMAGINE DRAGONS(謎幻樂團),LOOM,,,1,4,2026-01-22T00:56:26
2026-01-21,01/21,03:07,至少還有你,文慧如,BOON BOOM2! SERIES,,,1,4,2026-01-22T00:56:26
2026-01-21,01/21,03:12,紅色向日葵,羅美玲,紅色向日葵,,,1,4,2026-01-22T00:56:26
2026-01-21,01/21,03:16,勇氣,魏嘉瑩 / 魏如昀,,,,1,4,2026-01-22T00:56:26
2026-01-21,01/21,03:20,白天不懂夜的黑,那英,白天不懂夜的黑,,,1,5,2026-01-22T00:56:28
2026-01-21,01/21,03:24,I BELIEVE I CAN FLY,RONAN KEATING,SONGS FOR MY MOTHER(思念自選輯),,,1,5,2026-01-22T00:56:28
2026-01-21,01/21,03:29,神啊!救救我,陳小春,人見人愛,,,1,5,2026-01-22T00:56:28
2026-01-21,01/21,03:33,過我的生活,蕭煌奇,好好先生,,,1,5,2026-01-22T00:56:28
2026-01-21,01/21,03:38,SMOOTH OPERATOR,SADE,DIAMOND LIFE,,,1,5,2026-01-22T00:56:28
2026-01-21,01/21,03:42,青梅竹馬,周治平,I,,,1,5,2026-01-22T00:56:28
2026-01-21,01/21,03:47,像我這樣的女人,趙詠華,風的顏色,,,1,5,2026-01-22T00:56:28
2026-01-21,01/21,03:54,亞麻色頭髮的少女(日),島谷瞳,亮麗人生,,,1,5,2026-01-22T00:56:28
2026-01-21,01/21,03:58,閃亮的夢想_勇敢追夢版,演奏曲,22K夢想高飛電視原聲帶,,,1,5,2026-01-22T00:56:28
2026-01-21,01/21,04:00,蝶衣,蔡琴,此情可待,,,1,5,2026-01-22T00:56:28
2026-01-21,01/21,04:04,是否我真的一無所有,王傑,是否我真的一無所有,,,1,5,2026-01-22T00:56:28
2026-01-21,01/21,04:09,愛一回傷一回,游鴻明,愛一回傷一回,,,1,5,2026-01-22T00:56:28
2026-01-21,01/21,04:13,怎麼會寂寞,王菀之,王菀之首張個人創作專輯,,,1,6,2026-01-22T00:56:31
2026-01-21,01/21,04:17,CHEERLEADER(FELIX JAEHN REMIX),OMI,ME 4 U(熱情無國界),,,1,6,2026-01-22T00:56:31
2026-01-21,01/21,04:20,前面路口停,阿福(鄧福如) / 小宇 宋念宇,自成一派,,,1,6,2026-01-22T00:56:31
2026-01-21,01/21,04:24,HUG(擁抱)(韓),RIIZE,"2025 SMTOWN: THE CULTURE, THE FUTURE",,,1,6,2026-01-22T00:56:31
2026-01-21,01/21,04:28,當你生日,萬芳,林萬芳歌本1答案,,,1,6,2026-01-22T00:56:31
2026-01-21,01/21,04:32,ME!,TAYLOR SWIFT(泰勒絲) / BRENDON URIE,LOVER,,,1,6,2026-01-22T00:56:31
2026-01-21,01/21,04:35,吾在場證明,嚴爵,單細胞,,,1,6,2026-01-22T00:56:31
2026-01-21,01/21,04:39,中途轉機,陳威全,想飛 電視原聲帶,,,1,6,2026-01-22T00:56:31
2026-01-21,01/21,04:44,跟你住,孫盛希,GIRLS,,,1,6,2026-01-22T00:56:31
2026-01-21,01/21,04:48,愛的牧羊人,伍思凱,怎麼做朋友,,,1,6,2026-01-22T00:56:31
2026-01-21,01/21,04:52,空心吉他,張玉華,張玉華,,,1,6,2026-01-22T00:56:31
2026-01-21,01/21,04:56,WHEREVER YOU WILL GO,CALLING(呼叫樂團),CAMINO PALMERO(卡米羅大街),,,1,6,2026-01-22T00:56:31
2026-01-21,01/21,05:00,星星堆滿天,楊乃文,ONE,,,1,7,2026-01-22T00:56:33
2026-01-21,01/21,05:04,飛機場的10:30,丁噹,"FU GOOD下一站,天后 自選+精選",,,1,7,2026-01-22T00:56:33
2026-01-21,01/21,05:08,UN HOMME ET UNE FEMME 男歡女愛(法),橘兒,我的午后芭莎(SUMMER BREEZIN')(合輯),,,1,7,2026-01-22T00:56:33
2026-01-21,01/21,05:12,太陽,邱振哲,太陽,,,1,7,2026-01-22T00:56:33
2026-01-21,01/21,05:16,如果我變成回憶,TANK,第三回合,,,1,7,2026-01-22T00:56:33
2026-01-21,01/21,05:21,張三的歌,李壽全,8又二分之一,,,1,7,2026-01-22T00:56:33
2026-01-21,01/21,05:24,這些那些,林憶蓮,"LOVE,SANDY",,,1,7,2026-01-22T00:56:33
2026-01-21,01/21,05:29,YOU ARE THE REASON,CALUM SCOTT(卡倫史考特) / LEONA LEWIS(里歐娜),普通情人(ONLY HUMAN),,,1,7,2026-01-22T00:56:33
2026-01-21,01/21,05:32,有些女人不能碰,林志炫 / 謝宇書,TRUE LIVE,,,1,7,2026-01-22T00:56:33
2026-01-21,01/21,05:37,到不了,張洪量,全世界只有你不知道 新歌+精選,,,1,7,2026-01-22T00:56:33
2026-01-21,01/21,05:43,日不落,蔡依林,特務J,,,1,7,2026-01-22T00:56:33
2026-01-21,01/21,05:46,相愛吧,古巨基,尋寶,,,1,7,2026-01-22T00:56:33
2026-01-21,01/21,05:51,MAMBO NO.5(A LITTLE BIT OF...),LOU BEGA,"LITTLE BIT OF MAMBO,A(曼波狂潮)",,,1,8,2026-01-22T00:56:35
2026-01-21,01/21,05:54,踊(日),ADO,狂言,,,1,8,2026-01-22T00:56:35
2026-01-21,01/21,05:58,風之少年,SQUARE(方格子樂團),爵士靈魂,,,1,8,2026-01-22T00:56:35
2026-01-21,01/21,06:00,那一夜你喝了酒,彭佳慧,MY MOMENTS 醉佳時分,,,1,8,2026-01-22T00:56:35
2026-01-21,01/21,06:04,是你變了嗎,無印良品,是你變了嗎,,,1,8,2026-01-22T00:56:35
2026-01-21,01/21,06:07,再見煙火,卓義峰,聽者,,,1,8,2026-01-22T00:56:35
2026-01-21,01/21,06:13,愛情是圓的,林宥嘉,神秘嘉賓,,,1,8,2026-01-22T00:56:35
2026-01-21,01/21,06:16,多苦都願意,金城武,多苦都願意,,,1,8,2026-01-22T00:56:35
2026-01-21,01/21,06:21,幸福特調,羅志祥 / 秀智,真人秀?,,,1,8,2026-01-22T00:56:35
2026-01-21,01/21,06:25,THE KING OF WISHFUL THINKING,GO WEST,PRETTY WOMAN OST,,,1,8,2026-01-22T00:56:35
2026-01-21,01/21,06:29,我還年輕 我還年輕,魏嘉瑩 / 老王樂隊,,,,1,8,2026-01-22T00:56:35
2026-01-21,01/21,06:34,I CAN'T GO FOR THAT,THE BIRD AND THE BEE(小鳥與蜜蜂),INTERPRETING THE MASTERS(星光大道第一輯:霍爾與奧茲),,,1,8,2026-01-22T00:56:35
