日期,日期_mmdd,播出時間,歌曲名稱,演唱(奏)者,專輯,出版者,CD編號,dt_days_ago,page,scraped_at
2026-07-03,07/03,00:51,美女與野獸,田馥甄(HEBE) / 井柏然,,,,1,2,2026-07-04T01:35:17
2026-07-03,07/03,00:56,不想讓你知道,周蕙,周蕙精選,,,1,2,2026-07-04T01:35:17
2026-07-03,07/03,01:00,想你醒在0:03,庾澄慶,只有為你,,,1,2,2026-07-04T01:35:17
2026-07-03,07/03,01:04,A MILLION DREAMS,PINK,大娛樂家(THE GREATEST SHOWMAN)電影原聲帶 全球慶功版,,,1,2,2026-07-04T01:35:17
2026-07-03,07/03,01:09,盤旋,曹楊,你終結了我的流浪,,,1,2,2026-07-04T01:35:17
2026-07-03,07/03,01:12,我不允許我再愛上你,李千娜,李千娜首張同名專輯,,,1,2,2026-07-04T01:35:17
2026-07-03,07/03,01:16,揣無自己彼單純的心,阿斌 黃奇斌,,,,1,2,2026-07-04T01:35:17
2026-07-03,07/03,01:21,如果的事,范瑋琪 / 張韶涵,一比一,,,1,2,2026-07-04T01:35:17
2026-07-03,07/03,01:25,記得捨不得,蔡佩軒,ARIEL,,,1,2,2026-07-04T01:35:17
2026-07-03,07/03,01:29,ATTITUDE(韓),IVE,IVE EMPATHY,,,1,2,2026-07-04T01:35:17
2026-07-03,07/03,01:32,UPTOWN FUNK(FEAT. BRUNO MARS) 放克名流,MARK RONSON / BRUNO MARS,UPTOWN SPECIAL(放克特區),,,1,2,2026-07-04T01:35:17
2026-07-03,07/03,01:37,一人跳舞,劉虹嬅,一人跳舞,,,1,2,2026-07-04T01:35:17
2026-07-03,07/03,01:41,回到過去,張震嶽 / 林芯儀,光陰的故事 電視原聲帶,,,1,3,2026-07-04T01:35:19
2026-07-03,07/03,01:46,秋蟬,費玉清,回想曲~青青校樹~,,,1,3,2026-07-04T01:35:19
2026-07-03,07/03,01:50,散場電影,木吉他合唱團,新格民歌,,,1,3,2026-07-04T01:35:19
2026-07-03,07/03,01:54,BOTH SIDES NOW,DIANA PANTON(黛安娜潘頓),"小情歌(YES, PLEASE!)",,,1,3,2026-07-04T01:35:19
2026-07-03,07/03,02:00,放手(復合版),ENERGY,HERE I AM,,,1,3,2026-07-04T01:35:19
2026-07-03,07/03,02:04,準明星,徐佳瑩,給,,,1,3,2026-07-04T01:35:19
2026-07-03,07/03,02:08,進行式,蕭亞軒 / 胡彥斌,愛上愛,,,1,3,2026-07-04T01:35:19
2026-07-03,07/03,02:12,呼喚我,曾昱嘉,LISTEN首張個人專輯,,,1,3,2026-07-04T01:35:19
2026-07-03,07/03,02:16,你不是真正的快樂,五月天,後青春期的詩,,,1,3,2026-07-04T01:35:19
2026-07-03,07/03,02:22,原來你什麼都不要,孫燕姿,START自選集,,,1,3,2026-07-04T01:35:19
2026-07-03,07/03,02:26,BEAUTIFUL(韓),CRUSH,孤單又燦爛的神-鬼怪 韓劇原聲帶,,,1,3,2026-07-04T01:35:19
2026-07-03,07/03,02:30,一個人生活(2012年新版),林凡,犀利人妻電影原聲帶,,,1,3,2026-07-04T01:35:19
2026-07-03,07/03,02:35,END OF THE ROAD,BOYZ II MEN,COOLEY HIGH HARMONY(路的盡頭),,,1,4,2026-07-04T01:35:21
2026-07-03,07/03,02:41,說走就走,黎沸揮,說走就走,,,1,4,2026-07-04T01:35:21
2026-07-03,07/03,02:45,ALWAYS ON MY MIND,MICHAEL BUBLE(麥可布雷),CALL ME IRRESPONSIBLE(真情失控),,,1,4,2026-07-04T01:35:21
2026-07-03,07/03,02:50,THE WAY YOU LOOK TONIGHT,TONY BENNETT / BILL CHARLAP(鋼琴),重回幸福:傑若米肯恩經典輯(THE SILVER LINING - THE SONGS OF JEROME KERN),,,1,4,2026-07-04T01:35:21
2026-07-03,07/03,02:52,夢田,潘越雲 / 齊豫,回聲,,,1,4,2026-07-04T01:35:21
2026-07-03,07/03,02:55,可以勇敢可以溫柔,林慧萍,新戀情,,,1,4,2026-07-04T01:35:21
2026-07-03,07/03,03:00,寂寞轟炸,周傳雄,TRANSFER周傳雄,,,1,4,2026-07-04T01:35:21
2026-07-03,07/03,03:06,在我背上的翅膀(LIVE VER.)(日),近畿小子(KINKI KIDS),近畿小子演唱會20.2.21-EVERYTHING HAPPENS FOR A REASON-,,,1,4,2026-07-04T01:35:21
2026-07-03,07/03,03:09,TIC TAC TOE(國),徐婕兒,愛之初,,,1,4,2026-07-04T01:35:21
2026-07-03,07/03,03:14,月琴,鄭怡,滾石金韻民歌大精選2,,,1,4,2026-07-04T01:35:21
2026-07-03,07/03,03:18,只能勇敢,蕭煌奇,孤獨的和弦,,,1,4,2026-07-04T01:35:21
2026-07-03,07/03,03:23,背對背擁抱,林俊傑,JJ林俊傑 100天,,,1,4,2026-07-04T01:35:21
2026-07-03,07/03,03:27,隨愛而飛,彭羚,隨愛而飛,,,1,5,2026-07-04T01:35:23
2026-07-03,07/03,03:32,絕不能失去你,F4,煙火的季節,,,1,5,2026-07-04T01:35:23
2026-07-03,07/03,03:36,STAND BY YOU,RACHEL PLATTEN(瑞秋普蕾頓),浴火重生(WILDFIRE),,,1,5,2026-07-04T01:35:23
2026-07-03,07/03,03:40,同手同腳,溫嵐(LANDY),熱浪,,,1,5,2026-07-04T01:35:23
2026-07-03,07/03,03:44,他不愛我,莫文蔚,做自己(TO BE),,,1,5,2026-07-04T01:35:23
