日期,日期_mmdd,播出時間,歌曲名稱,演唱(奏)者,專輯,出版者,CD編號,dt_days_ago,page,scraped_at
2026-02-08,02/08,00:53,喜歡你現在的樣子,紀文惠,愛．啟程 LOVE IS ON THE WAY,,,1,2,2026-02-09T00:35:22
2026-02-08,02/08,00:58,WALTZ WITH STAR,演奏曲,韓劇 來自星星的你 電視原聲帶,,,1,2,2026-02-09T00:35:22
2026-02-08,02/08,01:00,等,黃湘怡,音樂甜心黃湘怡,,,1,2,2026-02-09T00:35:22
2026-02-08,02/08,01:04,I'M YOUR BABY TONIGHT,WHITNEY HOUSTON,THE GREATEST HITS(跨世紀精選+新曲),,,1,2,2026-02-09T00:35:22
2026-02-08,02/08,01:09,別再叫我哥,許書豪 / 蕭敬騰,真心話冒險王,,,1,2,2026-02-09T00:35:22
2026-02-08,02/08,01:14,燈光,謝震廷,查理,,,1,2,2026-02-09T00:35:22
2026-02-08,02/08,01:19,VISION OF LOVE,MARIAH CAREY,MARIAH CAREY,,,1,2,2026-02-09T00:35:22
2026-02-08,02/08,01:23,海枯石爛,OLIVIA,ROMANCE,,,1,2,2026-02-09T00:35:22
2026-02-08,02/08,01:27,壞人,方泂鑌(阿鑌),好人!?A BIN,,,1,2,2026-02-09T00:35:22
2026-02-08,02/08,01:32,LOVE VIRUS(韓),基賢(MONSTA X) / 雪娥(宇宙少女),金秘書為何那樣 韓劇原聲帶,,,1,2,2026-02-09T00:35:22
2026-02-08,02/08,01:36,決定愛你,徐若瑄,我愛你*4,,,1,2,2026-02-09T00:35:22
2026-02-08,02/08,01:41,AMAZED,BONNIE TYLER,,,,1,2,2026-02-09T00:35:22
2026-02-08,02/08,01:45,HONEY HONEY(國),鄭興,,,,1,3,2026-02-09T00:35:24
2026-02-08,02/08,01:49,偈,王海玲,,,,1,3,2026-02-09T00:35:24
2026-02-08,02/08,01:52,MORNING HAS BROKEN,齊豫,THE VOICE,,,1,3,2026-02-09T00:35:24
2026-02-08,02/08,01:57,小草,王夢麟,,,,1,3,2026-02-09T00:35:24
2026-02-08,02/08,02:00,我喜歡,周蕙,精選,,,1,3,2026-02-09T00:35:24
2026-02-08,02/08,02:06,NOT SUCH AN INNOCENT GIRL,VICTORIA BECKHAM,VICTORIA BECKHAM,,,1,3,2026-02-09T00:35:24
2026-02-08,02/08,02:09,那些年~緊緊抱著你~(日),whiteeeen,青春之聲,,,1,3,2026-02-09T00:35:24
2026-02-08,02/08,02:15,我想你的快樂是因為我,洛克班(ROCK BANG),人生證明,,,1,3,2026-02-09T00:35:24
2026-02-08,02/08,02:19,RAISE YOUR GLASS,歡樂合唱團,百集歡唱特輯,,,1,3,2026-02-09T00:35:24
2026-02-08,02/08,02:24,射手,MP魔幻力量,射手,,,1,3,2026-02-09T00:35:24
2026-02-08,02/08,02:28,幸福的可能,丁噹,敢愛敢當,,,1,3,2026-02-09T00:35:24
2026-02-08,02/08,02:32,你甘知影啥物叫做啦啦啦,邵大倫,出一支喙,,,1,3,2026-02-09T00:35:24
2026-02-08,02/08,02:37,I KNEW I LOVED YOU,SAVAGE GARDEN,AFFIRMATION(認定),,,1,4,2026-02-09T00:35:26
2026-02-08,02/08,02:41,天馬行空,林子良,FREE STYLE R&B 全創作1號,,,1,4,2026-02-09T00:35:26
