日期,日期_mmdd,播出時間,歌曲名稱,演唱(奏)者,專輯,出版者,CD編號,dt_days_ago,page,scraped_at
2026-07-20,07/20,00:53,手牽手,抗SARS大合唱,手牽手 單曲,,,1,2,2026-07-21T02:06:17
2026-07-20,07/20,00:59,水中散步,大橋好規,生命最後一個月的花嫁 電影原聲帶,,,1,2,2026-07-21T02:06:17
2026-07-20,07/20,01:00,飛,潘越雲,回聲,,,1,2,2026-07-21T02:06:17
2026-07-20,07/20,01:04,BETTE DAVIS EYES(LIVE),TAYLOR SWIFT(泰勒絲),愛的告白世界巡迴演唱會CD+DVD,,,1,2,2026-07-21T02:06:17
2026-07-20,07/20,01:07,100種生活,盧廣仲,100種生活,,,1,2,2026-07-21T02:06:17
2026-07-20,07/20,01:11,流星雨,F4,流星雨,,,1,2,2026-07-21T02:06:17
2026-07-20,07/20,01:16,正想著你呢,持修,房間裡的大象 ELEPHANT IN THE ROOM,,,1,2,2026-07-21T02:06:17
2026-07-20,07/20,01:19,A.I.N.Y.愛你(G.E.M.重生版),G.E.M.鄧紫棋,I AM GLORIA,,,1,2,2026-07-21T02:06:17
2026-07-20,07/20,01:23,STRONG ENOUGH,SHERYL CROW,TUESDAY NIGHT MUSIC CLUB,,,1,2,2026-07-21T02:06:17
2026-07-20,07/20,01:26,別再叫我哥,許書豪 / 蕭敬騰,真心話冒險王,,,1,2,2026-07-21T02:06:17
2026-07-20,07/20,01:31,SAY SO,DOJA CAT,HOT PINK,,,1,2,2026-07-21T02:06:17
2026-07-20,07/20,01:35,簡單的快樂,蕭煌奇,好好先生,,,1,2,2026-07-21T02:06:17
2026-07-20,07/20,01:40,以心電信(日),橘子新樂園(ORANGE RANGE),橘子音樂瘋(MUSIQ),,,1,3,2026-07-21T02:06:19
2026-07-20,07/20,01:44,愛上你等於愛上寂寞,那英,如今,,,1,3,2026-07-21T02:06:19
2026-07-20,07/20,01:49,你是我最深愛的人,永邦,永邦,,,1,3,2026-07-21T02:06:19
2026-07-20,07/20,01:54,一直在找一個人,馮瑋君,馮瑋君,,,1,3,2026-07-21T02:06:19
2026-07-20,07/20,01:58,一展笑顏,演奏曲,韓劇 灰姑娘的姐姐 電視原聲帶,,,1,3,2026-07-21T02:06:19
2026-07-20,07/20,02:00,WE BUILT THE CITY,STARSHIP,HITS OF THE MILLENNIUM,,,1,3,2026-07-21T02:06:19
2026-07-20,07/20,02:05,COLORFUL(國),婁峻碩,BOARDING,,,1,3,2026-07-21T02:06:19
2026-07-20,07/20,02:08,BUILT TO LAST,MELEE(魅力幫),DEVILS & ANGELS(天使與魔鬼),,,1,3,2026-07-21T02:06:19
2026-07-20,07/20,02:12,我是一隻小小鳥,丁噹,"FU GOOD下一站,天后 自選+精選",,,1,3,2026-07-21T02:06:19
2026-07-20,07/20,02:17,暖心,郁可唯,藍短褲,,,1,3,2026-07-21T02:06:19
2026-07-20,07/20,02:21,開始時總是下著雨(日),飛鳥涼(ASKA),亞洲最愛精選專輯,,,1,3,2026-07-21T02:06:19
2026-07-20,07/20,02:25,木棉道,王夢麟,,,,1,3,2026-07-21T02:06:19
2026-07-20,07/20,02:29,二分之一的愛情,周傳雄,二分之一的愛情,,,1,4,2026-07-21T02:06:20
2026-07-20,07/20,02:34,放我的真心在你的手心,張清芳,雙陳故事,,,1,4,2026-07-21T02:06:20
2026-07-20,07/20,02:38,你被寫在我的歌裡,蘇打綠 / ELLA陳嘉樺,你在煩惱什麼,,,1,4,2026-07-21T02:06:20
2026-07-20,07/20,02:42,AIN'T NO MOUNTAIN HIGH ENOUGH,HUMAN NATURE,DANCING IN THE STREET(經典熱舞),,,1,4,2026-07-21T02:06:20
2026-07-20,07/20,02:45,甘願,彭佳慧,FIRST TIME,,,1,4,2026-07-21T02:06:20
2026-07-20,07/20,02:49,我要我們在一起,FRAN(法蘭) / 蘇慧倫,另一個法蘭,,,1,4,2026-07-21T02:06:20
2026-07-20,07/20,02:53,咖啡在等一個人,周慧敏,HIM,,,1,4,2026-07-21T02:06:20
2026-07-20,07/20,02:58,I KNOW,演奏曲,韓劇 花樣男子 流星花園 電視原聲帶 1,,,1,4,2026-07-21T02:06:20
2026-07-20,07/20,03:00,廣島之戀,莫文蔚 / 張洪量,做自己(TO BE),,,1,4,2026-07-21T02:06:20
2026-07-20,07/20,03:05,千里之外,費玉清,回想曲~青青校樹~,,,1,4,2026-07-21T02:06:20
2026-07-20,07/20,03:10,等得到,許茹芸,如影隨心 電影主題曲,,,1,4,2026-07-21T02:06:20
2026-07-20,07/20,03:14,等一個人,林芯儀,等一個人咖啡 電影原聲帶,,,1,4,2026-07-21T02:06:20
2026-07-20,07/20,03:18,心痛,陳潔儀,心痛,,,1,5,2026-07-21T02:06:22
2026-07-20,07/20,03:23,生命有一種絕對,曲婉婷(WANTING),女也 HERSTORY WITH MAYDAY,,,1,5,2026-07-21T02:06:22
2026-07-20,07/20,03:27,兜圈,林宥嘉,必娶女人 電視原聲帶,,,1,5,2026-07-21T02:06:22
2026-07-20,07/20,03:32,你是唯一,潘越雲 / 張信哲,唯一潘越雲精選,,,1,5,2026-07-21T02:06:22
2026-07-20,07/20,03:36,(I JUST)DIED IN YOUR ARMS,CUTTING CREW,BROADCAST,,,1,5,2026-07-21T02:06:22
2026-07-20,07/20,03:41,MAMMA MIA,MERYL STREEP(梅莉史翠普),媽媽咪呀!(MAMMA MIA!)電影原聲帶,,,1,5,2026-07-21T02:06:22
2026-07-20,07/20,03:44,讓我們看雲去,陳明韶,,,,1,5,2026-07-21T02:06:22
2026-07-20,07/20,03:47,GET DOWN ON IT,BLUE / KOOL & THE GANG / LIL KIM,BEST OF BLUE,,,1,5,2026-07-21T02:06:22
2026-07-20,07/20,03:52,出界,鄭秀文,我應該得到,,,1,5,2026-07-21T02:06:22
2026-07-20,07/20,03:56,渴了,張惠妹,你在看我嗎?,,,1,5,2026-07-21T02:06:22
2026-07-20,07/20,04:04,單飛,郭采潔,愛造飛雞 迷你電影(DVD+電影原聲帶),,,1,5,2026-07-21T02:06:22
2026-07-20,07/20,04:09,我難過,5566,1st ALBUM,,,1,5,2026-07-21T02:06:22
2026-07-20,07/20,04:14,舉棋不定,張清芳 / 李驥,左右,,,1,6,2026-07-21T02:06:33
2026-07-20,07/20,04:19,布拉格廣場,蔡依林,看我72變,,,1,6,2026-07-21T02:06:33
2026-07-20,07/20,04:23,快魚仔,盧廣仲,花甲男孩轉大人 盧廣仲全創作原聲帶,,,1,6,2026-07-21T02:06:33
2026-07-20,07/20,04:27,TIME AFTER TIME,RONAN KEATING,SONGS FOR MY MOTHER(思念自選輯),,,1,6,2026-07-21T02:06:33
2026-07-20,07/20,04:32,聽見下雨的聲音,魏如昀,聽見下雨的聲音 電影原聲帶,,,1,6,2026-07-21T02:06:33
2026-07-20,07/20,04:36,ONLY YOU,KYLIE MINOGUE / JAMES CORDEN,KYLIE CHRISTMAS(美麗聖誕),,,1,6,2026-07-21T02:06:33
2026-07-20,07/20,04:39,你的寶貝,葉歡,一生美麗一次,,,1,6,2026-07-21T02:06:33
2026-07-20,07/20,04:45,小鎮姑娘,陶喆,I'M OK,,,1,6,2026-07-21T02:06:33
2026-07-20,07/20,04:50,小乖乖,蔡旻佑,"寂寞,好了",,,1,6,2026-07-21T02:06:33
2026-07-20,07/20,04:53,根本不是我對手,持修,房間裡的大象 ELEPHANT IN THE ROOM,,,1,6,2026-07-21T02:06:33
2026-07-20,07/20,04:57,THAT THING YOU DO,WONDERS,THAT THING YOU DO SOUNDTRACK,,,1,6,2026-07-21T02:06:33
2026-07-20,07/20,05:00,愚人碼頭,熊天平 / 齊秦,愛情多惱河,,,1,6,2026-07-21T02:06:33
2026-07-20,07/20,05:05,SMILE,STACEY KENT(史黛西肯特),THE CHANGING LIGHTS (五光十色),,,1,7,2026-07-21T02:06:34
2026-07-20,07/20,05:09,離人,張學友,不後悔,,,1,7,2026-07-21T02:06:34
2026-07-20,07/20,05:14,你是我的眼,動力火車,繼續轉動,,,1,7,2026-07-21T02:06:34
2026-07-20,07/20,05:19,愛上你等於愛上寂寞,A-LIN,不如在歌裡遇見 EP,,,1,7,2026-07-21T02:06:34
2026-07-20,07/20,05:23,愛上夏天(愛情版),任賢齊 / 舒淇,落跑吧愛情 電影原聲帶,,,1,7,2026-07-21T02:06:34
2026-07-20,07/20,05:27,小酒窩,林俊傑 / 蔡卓妍(阿SA),JJ陸,,,1,7,2026-07-21T02:06:34
2026-07-20,07/20,05:31,愛在西元前,周杰倫,范特西,,,1,7,2026-07-21T02:06:34
2026-07-20,07/20,05:35,ROYALS,LORDE,PURE HEROINE,,,1,7,2026-07-21T02:06:34
2026-07-20,07/20,05:38,SUPERWOMAN(國),梁文音,#2019還在聽,,,1,7,2026-07-21T02:06:34
2026-07-20,07/20,05:42,CHANGE THE WORLD(日),V6,第6輯,,,1,7,2026-07-21T02:06:34
2026-07-20,07/20,05:47,打了一把鑰匙給你,劉若英,雨季,,,1,7,2026-07-21T02:06:34
2026-07-20,07/20,05:52,CAN'T HELP FALLING IN LOVE,RICHARD MARX,BALLADS,,,1,7,2026-07-21T02:06:34
2026-07-20,07/20,05:55,愛情轉移,陳奕迅,認了吧 ADMIT IT,,,1,8,2026-07-21T02:06:36
2026-07-20,07/20,06:00,到不了,張洪量,全世界只有你不知道 新歌+精選,,,1,8,2026-07-21T02:06:36
2026-07-20,07/20,06:05,K歌情人,品冠 / 梁靜茹,NEED U MOST(最需要妳-K歌情人),,,1,8,2026-07-21T02:06:36
2026-07-20,07/20,06:10,ROCK WITH YOU,手嶌葵,AOI WORKS II -BEST COLLECTION 2015~2019-,,,1,8,2026-07-21T02:06:36
2026-07-20,07/20,06:15,浪費,徐佳瑩,收．音．我是歌手4 原音精選,,,1,8,2026-07-21T02:06:36
2026-07-20,07/20,06:20,再回首,姜育恆,再回首,,,1,8,2026-07-21T02:06:36
2026-07-20,07/20,06:24,最後一夜,張清芳,雙陳故事,,,1,8,2026-07-21T02:06:36
2026-07-20,07/20,06:29,好不好,五月天,人生海海,,,1,8,2026-07-21T02:06:36
2026-07-20,07/20,06:33,YOU'VE LOST THAT LOVIN' FEELIN',THE RIGHTEOUS BROTHERS,YOU'VE LOST THAT LOVIN' FEELIN' 單曲,,,1,8,2026-07-21T02:06:36
2026-07-20,07/20,06:37,秘密,獅子合唱團,REPLAY,,,1,8,2026-07-21T02:06:36
2026-07-20,07/20,06:43,那個人,深白色二人組,深白色同名創作專輯,,,1,8,2026-07-21T02:06:36
2026-07-20,07/20,06:48,ROMANTIC,KARYN WHITE,RITUAL OF LOVE,,,1,8,2026-07-21T02:06:36
2026-07-20,07/20,06:52,睜一隻眼閉一隻眼,蔡依林,J GAME,,,1,9,2026-07-21T02:06:38
2026-07-20,07/20,06:55,七彩的明日~BRAND NEW BEAT~(日),BoA(寶兒),BEST & USA,,,1,9,2026-07-21T02:06:38
2026-07-20,07/20,08:05,離開情人的日子,葉蒨文,離開情人的日子,,,1,9,2026-07-21T02:06:38
2026-07-20,07/20,08:11,YOU'LL BE IN MY HEART,PHIL COLLINS,泰山(TARZAN)電影原聲帶,,,1,9,2026-07-21T02:06:38
2026-07-20,07/20,08:16,I BELIEVE(韓),申勝勳,我的野蠻女友 電影原聲帶,,,1,9,2026-07-21T02:06:38
2026-07-20,07/20,08:21,愚人節快樂,盧廣仲,傷心早餐店,,,1,9,2026-07-21T02:06:38
2026-07-20,07/20,08:25,REASON,HOOBASTANK(好把戲合唱團),REASON,,,1,9,2026-07-21T02:06:38
2026-07-20,07/20,08:30,淋雨一直走,張韶涵,有形的翅膀,,,1,9,2026-07-21T02:06:38
2026-07-20,07/20,08:34,DIE ON THIS HILL,SIENNA SPIRO(席亞娜),VISITOR,,,1,9,2026-07-21T02:06:38
2026-07-20,07/20,08:37,再別康橋,蔡琴,愛像一首歌,,,1,9,2026-07-21T02:06:38
2026-07-20,07/20,08:42,親愛的小孩,張信哲,歌 時代,,,1,9,2026-07-21T02:06:38
2026-07-20,07/20,08:46,我沒那麼愛你,丁噹,敢愛敢當,,,1,9,2026-07-21T02:06:38
2026-07-20,07/20,08:50,山丘,李宗盛,,,,1,10,2026-07-21T02:06:39
2026-07-20,07/20,08:57,遠方的寂靜,林海,遠方的寂靜,,,1,10,2026-07-21T02:06:39
