日期,日期_mmdd,播出時間,歌曲名稱,演唱(奏)者,專輯,出版者,CD編號,dt_days_ago,page,scraped_at
2026-08-05,08/05,00:54,真心情,松隆子,豐收的果實,,,1,2,2026-08-06T01:41:04
2026-08-05,08/05,00:59,幸運草,福氣又安康 電視原聲帶,福氣又安康 電視原聲帶,,,1,2,2026-08-06T01:41:04
2026-08-05,08/05,01:00,流沙(Reimagined),陶喆,,,,1,2,2026-08-06T01:41:04
2026-08-05,08/05,01:05,LEAVING ON A JET PLANE,CHANTAL KREVIAZUK,COLOR MOVING AND STILL(心情的顏色),,,1,2,2026-08-06T01:41:04
2026-08-05,08/05,01:09,LEMON TREE,FOOL'S GARDEN,DISH OF THE DAY,,,1,2,2026-08-06T01:41:04
2026-08-05,08/05,01:13,愛我的人和我愛的人,裘海正,愛我的人和我愛的人,,,1,2,2026-08-06T01:41:04
2026-08-05,08/05,01:17,我的愛和別人一樣,葉蒨文,愛情的名字,,,1,2,2026-08-06T01:41:04
2026-08-05,08/05,01:22,男人不該讓女人流淚,蘇永康,男人不該讓女人流淚,,,1,2,2026-08-06T01:41:04
2026-08-05,08/05,01:26,嚮往的世界,閻奕格,,,,1,2,2026-08-06T01:41:04
2026-08-05,08/05,01:30,喜歡寂寞,蘇打綠,你在煩惱什麼,,,1,2,2026-08-06T01:41:04
2026-08-05,08/05,01:34,敬女人,徐若瑄,敬女人 EP,,,1,2,2026-08-06T01:41:04
2026-08-05,08/05,01:38,TALK LOVE,K. WILL,韓劇 太陽的後裔 電視原聲帶VOL.2,,,1,2,2026-08-06T01:41:04
2026-08-05,08/05,01:42,MERCY,DUFFY,ROCKFERRY(菲比尋常),,,1,3,2026-08-06T01:41:06
2026-08-05,08/05,01:46,張三的歌,蕭敬騰,REMINISCENCE,,,1,3,2026-08-06T01:41:06
2026-08-05,08/05,01:50,是不是這樣的夜晚你才會這樣的想起我,張智成,"記得,是最好的遺忘",,,1,3,2026-08-06T01:41:06
2026-08-05,08/05,01:54,因為你愛我,JOANNA王若琳,START FROM HERE,,,1,3,2026-08-06T01:41:06
2026-08-05,08/05,02:00,風箏,陳昇,風箏(陳昇),,,1,3,2026-08-06T01:41:06
2026-08-05,08/05,02:04,SAILING,CHRISTOPHER CROSS,CHRISTOPHER CROSS,,,1,3,2026-08-06T01:41:06
2026-08-05,08/05,02:09,致遠道而來的我們,丁噹 / 陳華,日與夜，跟自己說晚安,,,1,3,2026-08-06T01:41:06
2026-08-05,08/05,02:13,慢慢走,張信哲,就懂了,,,1,3,2026-08-06T01:41:06
2026-08-05,08/05,02:17,我的二分之一(FULL OF HAPPINESS),SUPER JUNIOR-M,迷(Me),,,1,3,2026-08-06T01:41:06
2026-08-05,08/05,02:21,大丈夫,蔡依林,花蝴蝶,,,1,3,2026-08-06T01:41:06
2026-08-05,08/05,02:24,WE ARE NEVER EVER GETTING BACK TOGETHER,TAYLOR SWIFT(泰勒絲),RED,,,1,3,2026-08-06T01:41:06
2026-08-05,08/05,02:27,FAST CAR(ACOUSTIC版),JONAS BLUE / DAKOTA,IN LOVE(現在愛)(情歌合輯),,,1,3,2026-08-06T01:41:06
2026-08-05,08/05,02:31,短髮,梁詠琪,短髮,,,1,4,2026-08-06T01:41:08
2026-08-05,08/05,02:36,BABY BABY,曹奎燦,解冰,,,1,4,2026-08-06T01:41:08
2026-08-05,08/05,02:40,唯一,SHAWN尚融,,,,1,4,2026-08-06T01:41:08
2026-08-05,08/05,02:43,幸福的時光,潘裕文 / 徐宛鈴,夢.想.家,,,1,4,2026-08-06T01:41:08
2026-08-05,08/05,02:48,心牆,郭靜,在樹上唱歌,,,1,4,2026-08-06T01:41:08
2026-08-05,08/05,02:52,上弦月,鄭秀文,2000眉飛色舞台北演唱會先聽先看版,,,1,4,2026-08-06T01:41:08
2026-08-05,08/05,02:55,至少還有你,文慧如,BOON BOOM2! SERIES,,,1,4,2026-08-06T01:41:08
2026-08-05,08/05,03:00,懷念,王菲,快樂不快樂,,,1,4,2026-08-06T01:41:08
2026-08-05,08/05,03:03,那些你很冒險的夢(JJ20版),林俊傑,,,,1,4,2026-08-06T01:41:08
2026-08-05,08/05,03:08,FIELDS OF GOLD,STING,TEN SUMMONER'S TALES,,,1,4,2026-08-06T01:41:08
2026-08-05,08/05,03:12,不能說的秘密,周杰倫,不能說的秘密 電影原聲帶,,,1,4,2026-08-06T01:41:08
2026-08-05,08/05,03:17,"EYES, NOSE, LIPS",TAEYANG(BIGBANG),RISE,,,1,4,2026-08-06T01:41:08
2026-08-05,08/05,03:21,YESTERDAY(國),蔡淳佳,慶幸擁有蔡淳佳,,,1,5,2026-08-06T01:41:10
2026-08-05,08/05,03:25,那女孩對我說,梁文音,#2019還在聽,,,1,5,2026-08-06T01:41:10
2026-08-05,08/05,03:29,情難枕,林慧萍,水的慧萍,,,1,5,2026-08-06T01:41:10
2026-08-05,08/05,03:34,SUMMERTIME,小野麗莎,我的摯愛經典(MY FAVORITE SONGS),,,1,5,2026-08-06T01:41:10
2026-08-05,08/05,03:39,廟會,王夢麟,,,,1,5,2026-08-06T01:41:10
2026-08-05,08/05,03:42,真相大白,卓文萱 / Q&A,1+1 PLAY N FUN 珍選集,,,1,5,2026-08-06T01:41:10
2026-08-05,08/05,03:46,戀愛ING,五月天,知足 最真傑作選,,,1,5,2026-08-06T01:41:10
2026-08-05,08/05,03:49,THAT'S SO TRUE,GRACIE ABRAMS(葛蕾西),THE SECRET OF US 豪華版,,,1,5,2026-08-06T01:41:10
2026-08-05,08/05,03:52,非愛不可,林憶蓮,不必在乎我是誰,,,1,5,2026-08-06T01:41:10
2026-08-05,08/05,03:56,沒有人像我一樣,宇宙人,欠妳的那場婚禮 電視劇主題曲,,,1,5,2026-08-06T01:41:10
2026-08-05,08/05,04:00,JUST WHEN I NEEDED YOU MOST(國),潘瑋柏,壁虎漫步,,,1,5,2026-08-06T01:41:10
2026-08-05,08/05,04:05,IT'S MY LIFE,t.尹美萊,機智醫生生活第二季 韓劇原聲帶,,,1,5,2026-08-06T01:41:10
2026-08-05,08/05,04:09,你的眼睛,持修,受,,,1,6,2026-08-06T01:41:12
2026-08-05,08/05,04:13,心裡有針,蕭煌奇,愛作夢的人-閩南語創作專輯,,,1,6,2026-08-06T01:41:12
2026-08-05,08/05,04:18,在我生命中的每一天,成龍 / 蘇慧倫,第一次,,,1,6,2026-08-06T01:41:12
2026-08-05,08/05,04:22,火柴天堂,曾沛慈,你們是我的星光,,,1,6,2026-08-06T01:41:12
2026-08-05,08/05,04:27,終於說出口,小宇 宋念宇,小宇同學就是我,,,1,6,2026-08-06T01:41:12
2026-08-05,08/05,04:31,認識你真好,孫耀威,肯定,,,1,6,2026-08-06T01:41:12
2026-08-05,08/05,04:36,FUNKY TOWN(日),安室奈美惠,玩樂主義(PLAY),,,1,6,2026-08-06T01:41:12
2026-08-05,08/05,04:40,WHO,JIMIN(BTS防彈少年團),MUSE(JIMIN專輯),,,1,6,2026-08-06T01:41:12
2026-08-05,08/05,04:42,緩緩,aMEI,,,,1,6,2026-08-06T01:41:12
2026-08-05,08/05,04:46,I NEED YOU(國),郭采潔,隱形超人,,,1,6,2026-08-06T01:41:12
2026-08-05,08/05,04:51,無人熟識,江蕙,台灣紅歌,,,1,6,2026-08-06T01:41:12
2026-08-05,08/05,04:55,NIGHT FEVER,BEE GEES,NUMBER ONES,,,1,6,2026-08-06T01:41:12
2026-08-05,08/05,04:58,MAMBO BURGER,JACK BURGER,SHAKEN NOT STIRRED,,,1,7,2026-08-06T01:41:14
2026-08-05,08/05,05:00,心愛的人,黃小琥,放心不下,,,1,7,2026-08-06T01:41:14
2026-08-05,08/05,05:04,一滴眼淚,KIRORO,四葉幸運草(FOUR LEAVES CLOVER),,,1,7,2026-08-06T01:41:14
2026-08-05,08/05,05:08,別問我是誰,邰正宵,歌者2逆風行歌,,,1,7,2026-08-06T01:41:14
2026-08-05,08/05,05:13,COLORS OF THE WIND,藤田惠美,CAMOMILE COLORS(洋甘菊之詩),,,1,7,2026-08-06T01:41:14
2026-08-05,08/05,05:18,當你孤單你會想起誰,張棟樑,張棟樑,,,1,7,2026-08-06T01:41:14
2026-08-05,08/05,05:22,花房姑娘,崔健,一無所有,,,1,7,2026-08-06T01:41:14
2026-08-05,08/05,05:27,你別傻了,周俊偉 / 劉德華,我愛你,,,1,7,2026-08-06T01:41:14
2026-08-05,08/05,05:32,BIRDS OF A FEATHER,BILLIE EILISH,溫柔重擊(HIT ME HARD AND SOFT),,,1,7,2026-08-06T01:41:14
2026-08-05,08/05,05:35,巴黎草莓,糯米糰,青春鳥王,,,1,7,2026-08-06T01:41:14
2026-08-05,08/05,05:40,快魚仔,盧廣仲,花甲男孩轉大人 盧廣仲全創作原聲帶,,,1,7,2026-08-06T01:41:14
2026-08-05,08/05,05:44,難以捉摸你的心,張洪量,隨慾,,,1,7,2026-08-06T01:41:14
2026-08-05,08/05,05:49,只要你快樂,汪佩蓉,只要你快樂,,,1,8,2026-08-06T01:41:16
2026-08-05,08/05,05:54,SO EASY (TO FALL IN LOVE),OLIVIA DEAN,THE ART OF LOVING,,,1,8,2026-08-06T01:41:16
2026-08-05,08/05,05:57,我知道你愛我,J.S,我知道你愛我 EP III,,,1,8,2026-08-06T01:41:16
2026-08-05,08/05,06:00,機場,薛岳,天梯(機場),,,1,8,2026-08-06T01:41:16
2026-08-05,08/05,06:04,YESTERDAY,THE BEATLES,HELP(救命),,,1,8,2026-08-06T01:41:16
2026-08-05,08/05,06:06,大海,韋禮安,,,,1,8,2026-08-06T01:41:16
2026-08-05,08/05,06:09,這樣愛你對不對,陳淑樺,聰明糊塗心,,,1,8,2026-08-06T01:41:16
2026-08-05,08/05,06:13,MOMENTS剎那,濱崎步,私物語(MY STORY),,,1,8,2026-08-06T01:41:16
2026-08-05,08/05,06:19,同病相戀,ENERGY,有病才會喜歡你 電影宣傳曲,,,1,8,2026-08-06T01:41:16
2026-08-05,08/05,06:22,人在雨中(LIVE),張學友,張學友1/2世紀演唱會,,,1,8,2026-08-06T01:41:16
2026-08-05,08/05,06:26,海嘯,庾澄慶,海嘯,,,1,8,2026-08-06T01:41:16
2026-08-05,08/05,06:31,給我一個理由忘記,A-LIN,寂寞不痛,,,1,8,2026-08-06T01:41:16
2026-08-05,08/05,06:35,STAND BY YOU(ACOUSTIC),RACHEL PLATTEN(瑞秋普蕾頓),浴火重生(WILDFIRE),,,1,9,2026-08-06T01:41:18
2026-08-05,08/05,06:39,放愛情一個假,許慧欣,謎,,,1,9,2026-08-06T01:41:18
2026-08-05,08/05,06:43,歲月這把刀,林凡,歲月這把刀,,,1,9,2026-08-06T01:41:18
2026-08-05,08/05,06:47,需要你的愛,F.I.R.飛兒樂團 / 信,愛.歌姬,,,1,9,2026-08-06T01:41:18
2026-08-05,08/05,06:52,MAN IN THE MIRROR,JAMES MORRISON,"SONGS FOR YOU,TRUTH FOR ME DELUXE(我的故事,未完成 加長篇)",,,1,9,2026-08-06T01:41:18
2026-08-05,08/05,06:56,美夢成真,許茹芸,你是最愛,,,1,9,2026-08-06T01:41:18
2026-08-05,08/05,08:05,飛向陽光飛向你,脫拉庫,飛向陽光飛向你,,,1,9,2026-08-06T01:41:18
2026-08-05,08/05,08:09,BUILT TO LAST,MELEE(魅力幫),DEVILS & ANGELS(天使與魔鬼),,,1,9,2026-08-06T01:41:18
2026-08-05,08/05,08:12,I DROVE ALL NIGHT,CELINE DION,ONE HEART(愛的奇蹟),,,1,9,2026-08-06T01:41:18
2026-08-05,08/05,08:17,天天想你,張雨生,天天想你,,,1,9,2026-08-06T01:41:18
2026-08-05,08/05,08:21,那些年~緊緊抱著你~(日),whiteeeen,青春之聲,,,1,9,2026-08-06T01:41:18
2026-08-05,08/05,08:26,可惜不愛了,梁心頤(LARA),來者何人 n!(EP),,,1,9,2026-08-06T01:41:18
2026-08-05,08/05,08:30,所以,羅大佑,,,,1,10,2026-08-06T01:41:20
2026-08-05,08/05,08:34,愛上你等於愛上寂寞,那英,如今,,,1,10,2026-08-06T01:41:20
2026-08-05,08/05,08:39,TIME TO SAY GOODBYE,ANDREA BOCELLI / MATTEO BOCELLI,DUETS(對唱經典),,,1,10,2026-08-06T01:41:20
2026-08-05,08/05,08:45,你給我聽好,陳奕迅,RICE & SHINE,,,1,10,2026-08-06T01:41:20
2026-08-05,08/05,08:49,這個世界,黃建為,夏樹的期待 單曲,,,1,10,2026-08-06T01:41:20
2026-08-05,08/05,08:52,故鄉普悠瑪,紀曉君,太陽 風 草原的聲音,,,1,10,2026-08-06T01:41:20
2026-08-05,08/05,08:57,SONG IN MY HEART,JUJU SONG,JAZZ MEETS HYMNS,,,1,10,2026-08-06T01:41:20
2026-08-05,08/05,09:05,東風破,周杰倫,葉惠美,,,1,10,2026-08-06T01:41:20
2026-08-05,08/05,09:10,秘密,黎瑞恩,秘密,,,1,10,2026-08-06T01:41:20
2026-08-05,08/05,09:15,PHOTOGRAPH,ED SHEERAN(艾德雪瑞),X,,,1,10,2026-08-06T01:41:20
2026-08-05,08/05,09:19,說好的幸福呢,浪花兄弟,浪花兄弟 同名專輯,,,1,10,2026-08-06T01:41:20
2026-08-05,08/05,09:23,GHOSTBUSTERS,WALK THE MOON(月球漫步樂團),GHOSTBUSTERS(魔鬼剋星)電影原聲帶,,,1,10,2026-08-06T01:41:20
2026-08-05,08/05,09:26,NEVER ENDING STORY,LIMAHL / BETH ANDERSON,大魔域(THE NEVERENDING STORY) 電影主題曲,,,1,11,2026-08-06T01:41:22
2026-08-05,08/05,09:30,森林裡的小餐館(Studio Live at ONKIO HAUS),手嶌葵,奇異恩典 單曲,,,1,11,2026-08-06T01:41:22
2026-08-05,08/05,09:33,情歌,梁靜茹,靜茹＆情歌-別再為他流淚,,,1,11,2026-08-06T01:41:22
2026-08-05,08/05,09:38,殼,ERIC周興哲,,,,1,11,2026-08-06T01:41:22
2026-08-05,08/05,09:42,一天一萬年,游鴻明,一天一萬年,,,1,11,2026-08-06T01:41:22
2026-08-05,08/05,09:46,太委屈,陶晶瑩,愛缺,,,1,11,2026-08-06T01:41:22
2026-08-05,08/05,09:51,不曾回來過,李千娜,不曾回來過 單曲,,,1,11,2026-08-06T01:41:22
2026-08-05,08/05,09:55,重新把你寫進我100首情歌,李哲言,,,,1,11,2026-08-06T01:41:22
