日期,日期_mmdd,播出時間,歌曲名稱,演唱(奏)者,專輯,出版者,CD編號,dt_days_ago,page,scraped_at
2026-06-26,06/26,00:00,青花瓷,周杰倫,我很忙,,,1,1,2026-06-27T01:50:42
2026-06-26,06/26,00:05,我會在你身邊,Miu朱俐靜 / Bii畢書盡,女神MIU朱俐靜存在的力量,,,1,1,2026-06-27T01:50:42
2026-06-26,06/26,00:09,明天你是否依然愛我,童安格,其實你不懂我的心,,,1,1,2026-06-27T01:50:42
2026-06-26,06/26,00:14,GOODBYE,AIR SUPPLY,大衛佛斯特情歌封神榜,,,1,1,2026-06-27T01:50:42
2026-06-26,06/26,00:18,一個人,A-LIN,,,,1,1,2026-06-27T01:50:42
2026-06-26,06/26,00:23,聽見下雨的聲音,金鐘國,,,,1,1,2026-06-27T01:50:42
2026-06-26,06/26,00:29,懸日,田馥甄(HEBE),無人知曉,,,1,1,2026-06-27T01:50:42
2026-06-26,06/26,00:33,"你,好不好?",ERIC周興哲,愛，教會我們的事,,,1,1,2026-06-27T01:50:42
2026-06-26,06/26,00:38,PLEASE PLEASE PLEASE,SABRINA CARPENTER / DOLLY PARTON,SHORT N' SWEET (DELUXE)(微甜 加糖豪華版),,,1,1,2026-06-27T01:50:42
2026-06-26,06/26,00:41,DARLING(日),V6,第8張之無限生活無限愛,,,1,1,2026-06-27T01:50:42
2026-06-26,06/26,00:45,為我好,梁靜茹,美麗人生,,,1,1,2026-06-27T01:50:42
2026-06-26,06/26,00:49,你讓我孤孤單單,殷正洋,天空藍藍的,,,1,1,2026-06-27T01:50:42
2026-06-26,06/26,00:53,FOOLISH BEAT,DEBBIE GIBSON,OUT OF THE BLUE(走出憂鬱),,,1,2,2026-06-27T01:50:44
2026-06-26,06/26,00:58,WHAT'S GOING ON,KAN SANO,GHOST NOTES/鬼譜神工,,,1,2,2026-06-27T01:50:44
2026-06-26,06/26,01:00,你不是一個好情人,張洪量,歌聲真洪量,,,1,2,2026-06-27T01:50:44
2026-06-26,06/26,01:04,"EYES, NOSE, LIPS(韓)",TAEYANG(BIGBANG),RISE,,,1,2,2026-06-27T01:50:44
2026-06-26,06/26,01:08,半途而廢,吳汶芳,兩個世界 EP,,,1,2,2026-06-27T01:50:44
2026-06-26,06/26,01:12,勇氣,派偉俊,,,,1,2,2026-06-27T01:50:44
2026-06-26,06/26,01:16,ALL ABOUT THAT BASS 棉花糖女孩,MEGHAN TRAINOR(梅根崔娜),TITLE(招牌金曲) CD+DVD重量進化版,,,1,2,2026-06-27T01:50:44
2026-06-26,06/26,01:19,皇后大道東(粵),羅大佑 / 蔣志光,皇后大道東,,,1,2,2026-06-27T01:50:44
2026-06-26,06/26,01:23,心情車站,任賢齊,愛像太平洋,,,1,2,2026-06-27T01:50:44
2026-06-26,06/26,01:30,手牽手,抗SARS大合唱,手牽手 單曲,,,1,2,2026-06-27T01:50:44
2026-06-26,06/26,01:35,誰,KARENCICI,誰是被害者 影集原聲帶,,,1,2,2026-06-27T01:50:44
2026-06-26,06/26,01:39,選擇性遺忘,深白色二人組,逆火,,,1,2,2026-06-27T01:50:44
2026-06-26,06/26,01:43,可惜沒如果,林俊傑,新地球,,,1,3,2026-06-27T01:50:46
2026-06-26,06/26,01:48,SAVAGE LOVE(LAXED - SIREN BEAT)(BTS REMIX),JAWSH 685 / JASON DERULO(A咖傑森) / BTS防彈少年團,,,,1,3,2026-06-27T01:50:46
2026-06-26,06/26,01:51,FANTASY (REMIX),MARIAH CAREY / O.D.B.,DAYDREAM,,,1,3,2026-06-27T01:50:46
2026-06-26,06/26,01:56,沿海地帶,弦子,弦子首張同名專輯,,,1,3,2026-06-27T01:50:46
2026-06-26,06/26,02:00,全部都給你(合唱版),吳克群 / 鍾欣桐(阿嬌),寂寞來了怎麼辦,,,1,3,2026-06-27T01:50:46
2026-06-26,06/26,02:05,WRITTEN IN THE STARS,ELTON JOHN / LEANN RIMES,AIDA,,,1,3,2026-06-27T01:50:46
2026-06-26,06/26,02:09,因為,潘裕文,我們都一樣,,,1,3,2026-06-27T01:50:46
2026-06-26,06/26,02:13,故鄉普悠瑪,紀曉君,太陽 風 草原的聲音,,,1,3,2026-06-27T01:50:46
2026-06-26,06/26,02:18,CAKE BY THE OCEAN,DNCE,CAKE BY THE OCEAN 單曲,,,1,3,2026-06-27T01:50:46
2026-06-26,06/26,02:23,DON'T CHA,PUSSYCAT DOLLS(小野貓) / BUSTA RHYMES,PCD,,,1,3,2026-06-27T01:50:46
2026-06-26,06/26,02:26,誰是MVP,潘瑋柏,高手,,,1,3,2026-06-27T01:50:46
2026-06-26,06/26,02:31,當你想著我,品冠 / 李心潔,一切為了愛 新歌+精選,,,1,3,2026-06-27T01:50:46
2026-06-26,06/26,02:35,I WANT YOU BACK(日),BE:FIRST,BE:ST,,,1,4,2026-06-27T01:50:47
2026-06-26,06/26,02:38,證據,楊乃文,FAITH 應該,,,1,4,2026-06-27T01:50:47
2026-06-26,06/26,02:42,親親我的寶貝,周華健,不願一個人,,,1,4,2026-06-27T01:50:47
2026-06-26,06/26,02:46,一生愛你千百回,梅艷芳,女人花,,,1,4,2026-06-27T01:50:47
2026-06-26,06/26,02:51,說你也一樣愛著我,張棟樑,沉默的瞬間,,,1,4,2026-06-27T01:50:47
2026-06-26,06/26,02:54,親愛的對象,蔡依林,關於我和鬼變成家人的那件事 電影主題曲,,,1,4,2026-06-27T01:50:47
2026-06-26,06/26,03:00,姊妹(2016平行宇宙版),張惠妹,,,,1,4,2026-06-27T01:50:47
2026-06-26,06/26,03:06,COME AWAY WITH ME,NORAH JONES,COME AWAY WITH ME(遠走高飛),,,1,4,2026-06-27T01:50:47
2026-06-26,06/26,03:09,安靜了,S.H.E,我的電台 FM S.H.E,,,1,4,2026-06-27T01:50:47
2026-06-26,06/26,03:14,LIKE A FOOL,KEIRA KNIGHTLEY,曼哈頓戀習曲 電影原聲帶,,,1,4,2026-06-27T01:50:47
2026-06-26,06/26,03:16,秋蟬,楊芳儀 / 徐曉菁,金韻民歌百大精選,,,1,4,2026-06-27T01:50:47
2026-06-26,06/26,03:20,THE KETCHUP SONG(ASEREJE),LAS KETCHUP(蕃茄三姐妹),HIJAS DEL TOMATE(蕃茄的女兒),,,1,4,2026-06-27T01:50:47
2026-06-26,06/26,03:23,加大力度,容祖兒,MOMENT,,,1,5,2026-06-27T01:50:49
2026-06-26,06/26,03:28,等著等著就老了,李榮浩,麻雀,,,1,5,2026-06-27T01:50:49
2026-06-26,06/26,03:33,上愛唱的歌,陶喆,再見你好嗎 HELLO GOODBYE,,,1,5,2026-06-27T01:50:49
2026-06-26,06/26,03:37,嚮往的世界,閻奕格,,,,1,5,2026-06-27T01:50:49
2026-06-26,06/26,03:41,暫時的男朋友,嚴爵,單細胞,,,1,5,2026-06-27T01:50:49
2026-06-26,06/26,03:45,不怪他,鄭興 / 棉花糖(KATNCANDI X 2),去你的城市呼吸 EP,,,1,5,2026-06-27T01:50:49
2026-06-26,06/26,03:49,你別傻了,周俊偉 / 劉德華,我愛你,,,1,5,2026-06-27T01:50:49
2026-06-26,06/26,03:54,AUTOMATIC(日),宇多田光,FIRST LOVE,,,1,5,2026-06-27T01:50:49
2026-06-26,06/26,04:00,偷偷的,MP魔幻力量,戰神,,,1,5,2026-06-27T01:50:49
2026-06-26,06/26,04:04,真的想你,杜德偉 / 順子,鍾愛1998新選輯,,,1,5,2026-06-27T01:50:49
2026-06-26,06/26,04:09,WILL(日),中島美嘉,唯美生存,,,1,5,2026-06-27T01:50:49
2026-06-26,06/26,04:14,YOU ARE THE REASON,CALUM SCOTT(卡倫史考特) / LEONA LEWIS(里歐娜),普通情人(ONLY HUMAN),,,1,5,2026-06-27T01:50:49
2026-06-26,06/26,04:18,等待是愛情的一種方式,NO NAME余荃斌,慢.慢愛,,,1,6,2026-06-27T01:50:51
2026-06-26,06/26,04:21,未完成,孫燕姿,未完成...,,,1,6,2026-06-27T01:50:51
2026-06-26,06/26,04:25,愛的飛行日記,周杰倫 / 楊瑞代(GARY),跨時代,,,1,6,2026-06-27T01:50:51
2026-06-26,06/26,04:30,難以捉摸你的心,張洪量,隨慾,,,1,6,2026-06-27T01:50:51
2026-06-26,06/26,04:35,寂寞日常,大Q秉洛,,,,1,6,2026-06-27T01:50:51
2026-06-26,06/26,04:40,LET IT GO,JAMES BAY(詹姆斯貝),CHAOS AND THE CALM(喧囂與寂靜),,,1,6,2026-06-27T01:50:51
2026-06-26,06/26,04:44,小小幸福,張玉華,小小幸福,,,1,6,2026-06-27T01:50:51
2026-06-26,06/26,04:48,讓我想一想(LIVE),陳綺貞,太陽巡迴演唱會IMMORTAL TOUR影音記錄,,,1,6,2026-06-27T01:50:51
2026-06-26,06/26,04:52,YOU GOTTA BE,DES'REE,I AIN'T MOVIN'(真情不移),,,1,6,2026-06-27T01:50:51
2026-06-26,06/26,04:56,I FEEL GOOD(國),任賢齊,依靠,,,1,6,2026-06-27T01:50:51
2026-06-26,06/26,05:00,緩緩,aMEI,,,,1,6,2026-06-27T01:50:51
2026-06-26,06/26,05:04,YELLOW SUBMARINE,THE BEATLES,REVOLVER(左輪手槍),,,1,6,2026-06-27T01:50:51
2026-06-26,06/26,05:06,多情兄,新寶島康樂隊,新寶島康樂隊,,,1,7,2026-06-27T01:50:53
2026-06-26,06/26,05:12,我終於失去了你,趙傳,我終於失去了你,,,1,7,2026-06-27T01:50:53
2026-06-26,06/26,05:17,無言的歌,潘越雲,唯一潘越雲,,,1,7,2026-06-27T01:50:53
2026-06-26,06/26,05:21,愚人節快樂,盧廣仲,傷心早餐店,,,1,7,2026-06-27T01:50:53
2026-06-26,06/26,05:26,我們小時候,TANK,生存之道,,,1,7,2026-06-27T01:50:53
2026-06-26,06/26,05:30,需要你的愛,F.I.R.飛兒樂團 / 信,愛.歌姬,,,1,7,2026-06-27T01:50:53
2026-06-26,06/26,05:35,這樣愛你好可怕,林凡,眼淚流回去,,,1,7,2026-06-27T01:50:53
2026-06-26,06/26,05:40,COUNT ON ME,BRUNO MARS,DOO-WOPS & HOOLIGANS,,,1,7,2026-06-27T01:50:53
2026-06-26,06/26,05:43,淚之吻(日),南方之星(SOUTHERN ALL STARS),,,,1,7,2026-06-27T01:50:53
2026-06-26,06/26,05:48,現在不跳舞要幹嘛,徐佳瑩,心裡學,,,1,7,2026-06-27T01:50:53
2026-06-26,06/26,05:51,ALL RISE,BLUE,BLUE ALL RISE(新聲奪人),,,1,7,2026-06-27T01:50:53
2026-06-26,06/26,05:55,分開的常理,家家,忘不記,,,1,7,2026-06-27T01:50:53
2026-06-26,06/26,05:58,為了愛情(俊表的堅固柔情),演奏曲,韓劇 花樣男子 流星花園 電視原聲帶 2,,,1,8,2026-06-27T01:50:55
2026-06-26,06/26,06:00,寂寞無害,艾怡良,說 艾怡良,,,1,8,2026-06-27T01:50:55
2026-06-26,06/26,06:04,情比姐妹深,錦繡二重唱,情比姐妹深,,,1,8,2026-06-27T01:50:55
2026-06-26,06/26,06:09,在你背影守候,黃舒駿,1988-2001自選集,,,1,8,2026-06-27T01:50:55
2026-06-26,06/26,06:14,窗外的天氣,蕭亞軒,紅薔薇,,,1,8,2026-06-27T01:50:55
2026-06-26,06/26,06:18,古老的大鐘,李聖傑,原諒我沒有說,,,1,8,2026-06-27T01:50:55
2026-06-26,06/26,06:23,LOVE LOVE LOVE(日),平井堅,平井堅的歲月(THE CHANGING SAME),,,1,8,2026-06-27T01:50:55
2026-06-26,06/26,06:28,量子幹嘛糾纏,琟娜VERNA,,,,1,8,2026-06-27T01:50:55
2026-06-26,06/26,06:32,愛你,王心凌,CYNDI LOVES U,,,1,8,2026-06-27T01:50:55
2026-06-26,06/26,06:35,GOOD AS HELL,LIZZO / ARIANA GRANDE(亞莉安娜.格蘭德),,,,1,8,2026-06-27T01:50:55
2026-06-26,06/26,06:38,小婚禮,吳建豪,DIFFERENT MAN,,,1,8,2026-06-27T01:50:55
2026-06-26,06/26,06:42,WHAT BECOMES OF THE BROKEN HEARTED,ROD STEWART,SOULBOOK(首張靈魂樂自選輯 靈魂情歌簿),,,1,8,2026-06-27T01:50:55
2026-06-26,06/26,06:46,HOME,CHARLIE PUTH(CP查理) / 宇多田光,WHATEVER'S CLEVER!,,,1,9,2026-06-27T01:50:57
2026-06-26,06/26,06:50,下沙,游鴻明,下沙,,,1,9,2026-06-27T01:50:57
2026-06-26,06/26,06:55,傳奇,費玉清,唱一遍一遍,,,1,9,2026-06-27T01:50:57
2026-06-26,06/26,08:05,等一個晴天,蔡淳佳,淳佳精選17首,,,1,9,2026-06-27T01:50:57
2026-06-26,06/26,08:10,COULD'VE BEEN,TIFFANY,GREATEST HITS,,,1,9,2026-06-27T01:50:57
2026-06-26,06/26,08:14,瘋狂世界 #MaydayBlue20th,五月天,,,,1,9,2026-06-27T01:50:57
2026-06-26,06/26,08:18,EARTHQUAKE(韓),JISOO(BLACKPINK),AMORTAGE,,,1,9,2026-06-27T01:50:57
2026-06-26,06/26,08:21,TOXIC,BRITNEY SPEARS,IN THE ZONE,,,1,9,2026-06-27T01:50:57
2026-06-26,06/26,08:25,流浪地圖,孫燕姿,完美的一天,,,1,9,2026-06-27T01:50:57
2026-06-26,06/26,08:29,喜歡寂寞,蘇打綠,你在煩惱什麼,,,1,9,2026-06-27T01:50:57
2026-06-26,06/26,08:34,妳的樣子,羅大佑,愛人同志,,,1,9,2026-06-27T01:50:57
2026-06-26,06/26,08:38,I WANT YOU BACK,JACKSON 5,,,,1,9,2026-06-27T01:50:57
2026-06-26,06/26,08:41,HAVE A NICE DAY(國),魏如萱(娃娃),HAVE A NICE DAY,,,1,10,2026-06-27T01:50:59
2026-06-26,06/26,08:45,背叛,曹格,SUPERMAN,,,1,10,2026-06-27T01:50:59
