日期,日期_mmdd,播出時間,歌曲名稱,演唱(奏)者,專輯,出版者,CD編號,dt_days_ago,page,scraped_at
2026-06-20,06/20,00:56,愛的多重宇宙,TIZZY BAC,說出我的名字,,,1,2,2026-06-21T01:37:09
2026-06-20,06/20,01:00,我的未來不是夢,張雨生,張雨生精選集自由歌,,,1,2,2026-06-21T01:37:09
2026-06-20,06/20,01:07,LARGER THAN LIFE,BACKSTREET BOYS,MILLENIUM(千禧情),,,1,2,2026-06-21T01:37:09
2026-06-20,06/20,01:11,如果的事,李佳歡 / 許維芳,,,,1,2,2026-06-21T01:37:09
2026-06-20,06/20,01:14,LOVIN' YOU,CHE'NELLE(香奈兒),愛的進行式,,,1,2,2026-06-21T01:37:09
2026-06-20,06/20,01:19,壞人,方泂鑌(阿鑌),好人!?A BIN,,,1,2,2026-06-21T01:37:09
2026-06-20,06/20,01:24,離開的一路上,理想混蛋,ORIGIN SESSIONS (EP),,,1,2,2026-06-21T01:37:09
2026-06-20,06/20,01:28,打起精神(日),竹內瑪莉亞,IMPRESSIONS,,,1,2,2026-06-21T01:37:09
2026-06-20,06/20,01:33,大家好,旺福,你好我好大家好,,,1,2,2026-06-21T01:37:09
2026-06-20,06/20,01:37,SAY SOMETHING,MARIAH CAREY / SNOOP DOGG,THE EMANCIPATION OF MIMI,,,1,2,2026-06-21T01:37:09
2026-06-20,06/20,01:42,MANTRA,JENNIE(BLACKPINK),RUBY,,,1,2,2026-06-21T01:37:09
2026-06-20,06/20,01:44,到不了,范瑋琪,范范的世界,,,1,2,2026-06-21T01:37:09
2026-06-20,06/20,01:49,曖昧,楊丞琳,曖昧,,,1,3,2026-06-21T01:37:11
2026-06-20,06/20,01:54,張三的歌,李壽全,8又二分之一,,,1,3,2026-06-21T01:37:11
2026-06-20,06/20,01:58,GOLDEN SLUMBERS,DANIEL HO,烏克披頭四(DANIEL HO x THE BEATLES),,,1,3,2026-06-21T01:37:11
