日期,日期_mmdd,播出時間,歌曲名稱,演唱(奏)者,專輯,出版者,CD編號,dt_days_ago,page,scraped_at
2026-04-11,04/11,00:57,GANGNAM STYLE(韓),PSY,冠軍全擊騎馬舞的時代,,,1,2,2026-04-12T00:40:20
2026-04-11,04/11,01:00,秘密,藍又時,秘密,,,1,2,2026-04-12T00:40:20
2026-04-11,04/11,01:06,LOST STARS,KEIRA KNIGHTLEY,曼哈頓戀習曲 電影原聲帶,,,1,2,2026-04-12T00:40:20
2026-04-11,04/11,01:10,黃昏,周傳雄,TRANSFER周傳雄,,,1,2,2026-04-12T00:40:20
2026-04-11,04/11,01:15,TRY EVERYTHING,SHAKIRA,動物方城市 電影原聲帶,,,1,2,2026-04-12T00:40:20
2026-04-11,04/11,01:19,REMEMBER(國),S.H.E,青春株式會社,,,1,2,2026-04-12T00:40:20
2026-04-11,04/11,01:22,美麗的日子,王心凌,美麗的日子 新歌+精選,,,1,2,2026-04-12T00:40:20
2026-04-11,04/11,01:25,溫柔超人,金城武,溫柔超人,,,1,2,2026-04-12T00:40:20
2026-04-11,04/11,01:31,SOFA(日),LE COUPLE(絕配雙人組),ON THE SOFA,,,1,2,2026-04-12T00:40:20
2026-04-11,04/11,01:35,LOST YOU TWICE(國),盧廣仲,傷心早餐店,,,1,2,2026-04-12T00:40:20
2026-04-11,04/11,01:39,別問很可怕,J.SHEON,J.SHEON同名專輯--街巷,,,1,2,2026-04-12T00:40:20
2026-04-11,04/11,01:44,戀曲1980,羅大佑,之乎者也,,,1,2,2026-04-12T00:40:20
2026-04-11,04/11,01:47,輸了你贏了世界又如何,優客李林,悍衛愛情,,,1,3,2026-04-12T00:40:22
2026-04-11,04/11,01:52,TRUE,SPANDAU BALLET,TRUE(SPANDAU BALLET專輯),,,1,3,2026-04-12T00:40:22
2026-04-11,04/11,01:57,UNLEASH YOUR LIGHT(國),黃美珍,,,,1,3,2026-04-12T00:40:22
2026-04-11,04/11,02:00,倒轉,黃奕儒 / 八三夭阿璞 / 林子閎(SpeXial),,,,1,3,2026-04-12T00:40:22
2026-04-11,04/11,02:04,留在我身邊(日),青山黛瑪 / SOULJA,情歌黛瑪愛情經典(LOVE~THELMA LOVESONG COLLECTION),,,1,3,2026-04-12T00:40:22
2026-04-11,04/11,02:09,兩個冬天,侯湘婷,愛之旅,,,1,3,2026-04-12T00:40:22
2026-04-11,04/11,02:15,悶,王菲,王菲,,,1,3,2026-04-12T00:40:22
2026-04-11,04/11,02:19,MRS. ROBINSON,SIMON AND GARFUNKEL,MRS. ROBINSON EP,,,1,3,2026-04-12T00:40:22
2026-04-11,04/11,02:23,你的背包,陳奕迅,SPECIAL THANKS TO...,,,1,3,2026-04-12T00:40:22
2026-04-11,04/11,02:26,寂寞電梯,Y.I.Y.O,大風吹,,,1,3,2026-04-12T00:40:22
2026-04-11,04/11,02:32,講袂出喙的情話,許富凱,,,,1,3,2026-04-12T00:40:22
2026-04-11,04/11,02:36,愛如潮水,劉美君,LOVE ADDICT,,,1,3,2026-04-12T00:40:22
2026-04-11,04/11,02:40,YOU DON'T HAVE TO SAY YOU LOVE ME,MAUREEN MCGOVERN,BABY I'M YOURS,,,1,4,2026-04-12T00:40:24
2026-04-11,04/11,02:44,SOMEWHERE OUT THERE,PHILLIP GLASSER / BETSY CATHCART,美國鼠譚(AN AMERICAN TAIL)電影原聲帶,,,1,4,2026-04-12T00:40:24
2026-04-11,04/11,02:47,風的顏色,趙詠華 / 李正帆,風的顏色,,,1,4,2026-04-12T00:40:24
2026-04-11,04/11,02:53,當時欲嫁,江蕙,當時欲嫁,,,1,4,2026-04-12T00:40:24
2026-04-11,04/11,02:58,不說出口的第三個願望,演奏曲,想見你 電視原聲帶,,,1,4,2026-04-12T00:40:24
2026-04-11,04/11,03:00,珊瑚海,周杰倫 / 梁心頤(LARA),11月的蕭邦,,,1,4,2026-04-12T00:40:24
2026-04-11,04/11,03:04,DRENCHED,曲婉婷(WANTING),EVERYTHING IN THE WORLD,,,1,4,2026-04-12T00:40:24
2026-04-11,04/11,03:08,反方向,光良,絕類,,,1,4,2026-04-12T00:40:24
2026-04-11,04/11,03:13,你給我記住,曹蘭,好朋友,,,1,4,2026-04-12T00:40:24
2026-04-11,04/11,03:17,HEAVEN IS A PLACE ON EARTH,BELINDA CARLISLE,HEAVEN ON EARTH(人間天堂),,,1,4,2026-04-12T00:40:24
2026-04-11,04/11,03:21,無法度按捺,WHY NOT,,,,1,4,2026-04-12T00:40:24
2026-04-11,04/11,03:26,猜不透,張韶涵,歐若拉(AURORA),,,1,4,2026-04-12T00:40:24
2026-04-11,04/11,03:32,大雨的夜裡,張清芳,大雨的夜裡,,,1,5,2026-04-12T00:40:32
2026-04-11,04/11,03:35,以為你都知道,張雨生,六個朋友 合輯,,,1,5,2026-04-12T00:40:32
2026-04-11,04/11,03:39,我是不是該安靜的走開,陳潔儀,A TIME FOR EVERYTHING,,,1,5,2026-04-12T00:40:32
2026-04-11,04/11,03:44,THE MUSIC OF THE NIGHT,MICHAEL CRAWFORD,THE PHANTOM OF THE OPERA(歌劇魅影),,,1,5,2026-04-12T00:40:32
2026-04-11,04/11,03:49,原味的夏天,邱澤,REMEMBER,,,1,5,2026-04-12T00:40:32
2026-04-11,04/11,03:53,HAPPY.BIRTH.DAY(國),阿信,HAPPY.BIRTH.DAY,,,1,5,2026-04-12T00:40:32
2026-04-11,04/11,03:57,能不能和我留在台北(陪我幾天),icyball(冰球樂團),,,,1,5,2026-04-12T00:40:32
2026-04-11,04/11,04:00,我是一隻小小鳥,丁噹,"FU GOOD下一站,天后 自選+精選",,,1,5,2026-04-12T00:40:32
2026-04-11,04/11,04:05,TEARS IN HEAVEN,ERIC CLAPTON,RUSH,,,1,5,2026-04-12T00:40:32
2026-04-11,04/11,04:09,三分之一的時間,林隆璇 / 商怡雯,心事重重,,,1,5,2026-04-12T00:40:32
2026-04-11,04/11,04:14,塵埃,家家,為你的寂寞唱歌,,,1,5,2026-04-12T00:40:32
2026-04-11,04/11,04:18,食等睡等(客),陳以諾Sarah,慢花誌,,,1,5,2026-04-12T00:40:32
2026-04-11,04/11,04:21,春風少年兄,林強,春風少年兄,,,1,6,2026-04-12T00:40:34
2026-04-11,04/11,04:25,PAPRIKA(日),米津玄師,STRAY SHEEP,,,1,6,2026-04-12T00:40:34
2026-04-11,04/11,04:29,我不要再比了,劉明湘,我不要再比了,,,1,6,2026-04-12T00:40:34
2026-04-11,04/11,04:33,男人不該讓女人流淚,蘇永康,男人不該讓女人流淚,,,1,6,2026-04-12T00:40:34
2026-04-11,04/11,04:38,CRAZY FOR YOU,MADONNA,CRAZY FOR YOU,,,1,6,2026-04-12T00:40:34
2026-04-11,04/11,04:42,讓我重新愛上你,楊千嬅,揚眉,,,1,6,2026-04-12T00:40:34
2026-04-11,04/11,04:46,戀愛達人,羅志祥 / 小S(徐熙娣),達人SHOW,,,1,6,2026-04-12T00:40:34
2026-04-11,04/11,04:49,甩一甩SOUL TRAIN,葛仲珊(MISS KO) / 比莉(王雪娥),XXXIII,,,1,6,2026-04-12T00:40:34
2026-04-11,04/11,04:53,SING,CARPENTERS,NOW AND THEN(現在和以後),,,1,6,2026-04-12T00:40:34
2026-04-11,04/11,04:56,不想長大,S.H.E,不想長大,,,1,6,2026-04-12T00:40:34
2026-04-11,04/11,05:00,明明就,周杰倫,12新作,,,1,6,2026-04-12T00:40:34
2026-04-11,04/11,05:04,現在我很幸福,A-LIN,以前 以後,,,1,6,2026-04-12T00:40:34
2026-04-11,04/11,05:08,MY NEIGHBOR TOTORO,橘兒,夢幻電影樂DREAM CINEMA-經典珍藏篇,,,1,7,2026-04-12T00:40:36
2026-04-11,04/11,05:12,日光機場,許茹芸,日光機場,,,1,7,2026-04-12T00:40:36
2026-04-11,04/11,05:18,愛我(YES版),柯以敏 / 林志炫,愛我,,,1,7,2026-04-12T00:40:36
2026-04-11,04/11,05:22,明明白白我的心,成龍 / 陳淑樺,第一次,,,1,7,2026-04-12T00:40:36
2026-04-11,04/11,05:28,謝謝你曾經愛我,潘越雲,謝謝你曾經愛我,,,1,7,2026-04-12T00:40:36
2026-04-11,04/11,05:33,走心的歌,陳勢安,走心的歌,,,1,7,2026-04-12T00:40:36
2026-04-11,04/11,05:37,想要變得溫柔(日),齊藤和義,,,,1,7,2026-04-12T00:40:36
2026-04-11,04/11,05:42,MAMBO NO.5(A LITTLE BIT OF...),LOU BEGA,"LITTLE BIT OF MAMBO,A(曼波狂潮)",,,1,7,2026-04-12T00:40:36
2026-04-11,04/11,05:46,每天愛你多一些,張學友,吻別,,,1,7,2026-04-12T00:40:36
2026-04-11,04/11,05:51,LET'S GROOVE,DAVID FOSTER / MELANIE C / 吳建豪 / ANGGUN(安谷),大衛佛斯特 傳奇精選(THE MANY SIDES OF DAVID FOSTER),,,1,7,2026-04-12T00:40:36
2026-04-11,04/11,05:54,既然不再假裝自己不是多愁善感的詩人,魏如萱(娃娃),藏著並不等於遺忘,,,1,7,2026-04-12T00:40:36
2026-04-11,04/11,05:58,NEW START,鄭英浩,憂美的理由 韓系珍愛音樂 精選,,,1,7,2026-04-12T00:40:36
