日期,日期_mmdd,播出時間,歌曲名稱,演唱(奏)者,專輯,出版者,CD編號,dt_days_ago,page,scraped_at
2026-07-16,07/16,00:53,如果可以,韋禮安,月老 電影主題曲,,,1,2,2026-07-17T01:19:52
2026-07-16,07/16,01:00,我坐在這裡,林憶蓮,林憶蓮'S,,,1,2,2026-07-17T01:19:52
2026-07-16,07/16,01:05,希望明天好天氣(日),柚子(YUZU),YUZU YOU 2006-2011精選,,,1,2,2026-07-17T01:19:52
2026-07-16,07/16,01:09,哈你歌,庾澄慶 / 小S(徐熙娣),關不掉的月光,,,1,2,2026-07-17T01:19:52
2026-07-16,07/16,01:13,WHERE DO BROKEN HEARTS GO,WHITNEY HOUSTON,"LOVE,WHITNEY(都是愛,15年情歌精選)",,,1,2,2026-07-17T01:19:52
2026-07-16,07/16,01:18,我只在乎你,JOANNA王若琳,愛的呼喚LOVE IS CALLING ME,,,1,2,2026-07-17T01:19:52
2026-07-16,07/16,01:23,綿綿無絕期,阿斌 黃奇斌,虛華的夢想是一支刀,,,1,2,2026-07-17T01:19:52
2026-07-16,07/16,01:27,讓我送你花一朵,萬芳,原來我們都是愛著的,,,1,2,2026-07-17T01:19:52
2026-07-16,07/16,01:31,垃圾車,五月天,神的孩子都在跳舞,,,1,2,2026-07-17T01:19:52
2026-07-16,07/16,01:35,情人,潘嘉麗(KELLY),情人。嘉麗,,,1,2,2026-07-17T01:19:52
2026-07-16,07/16,01:39,DIE YOUNG,KESHA,WARRIOR惡女反抗軍,,,1,2,2026-07-17T01:19:52
2026-07-16,07/16,01:43,你的電話,藍心湄 / 脫拉庫,心湄看新湄,,,1,2,2026-07-17T01:19:52
2026-07-16,07/16,01:47,九佰九拾九朵玫瑰,邰正宵,找一個字代替,,,1,3,2026-07-17T01:19:53
2026-07-16,07/16,01:51,那些你很冒險的夢,林俊傑,學不會,,,1,3,2026-07-17T01:19:53
2026-07-16,07/16,01:55,EVERYTIME,BRITNEY SPEARS,IN THE ZONE,,,1,3,2026-07-17T01:19:53
2026-07-16,07/16,01:59,新終章,演奏曲,追婚日記 電影原聲帶,,,1,3,2026-07-17T01:19:53
2026-07-16,07/16,02:00,太陽,陳綺貞,太陽,,,1,3,2026-07-17T01:19:53
2026-07-16,07/16,02:05,最愛(日),福山雅治,GALILEO+,,,1,3,2026-07-17T01:19:53
2026-07-16,07/16,02:11,IRIS,GOO GOO DOLLS(咕咕娃合唱團),X 情人(CITY OF ANGELS)電影原聲帶,,,1,3,2026-07-17T01:19:53
2026-07-16,07/16,02:16,走,周蕙,WHERE X 走,,,1,3,2026-07-17T01:19:53
2026-07-16,07/16,02:19,所以,羅大佑,,,,1,3,2026-07-17T01:19:53
2026-07-16,07/16,02:23,隱形紀念,蔡淳佳,回到最初,,,1,3,2026-07-17T01:19:53
2026-07-16,07/16,02:29,LONGER,藤田惠美,CAMOMILE BLEND(挪威甘菊2),,,1,3,2026-07-17T01:19:53
2026-07-16,07/16,02:32,IF YOU LEAVE ME NOW,CHICAGO,CHICAGO X,,,1,3,2026-07-17T01:19:53
2026-07-16,07/16,02:36,忠孝東路走九遍,動力火車,忠孝東路走九遍,,,1,4,2026-07-17T01:19:55
2026-07-16,07/16,02:41,放愛情一個假,許慧欣,謎,,,1,4,2026-07-17T01:19:55
2026-07-16,07/16,02:45,夜夜夜夜,齊秦,絲路,,,1,4,2026-07-17T01:19:55
2026-07-16,07/16,02:49,秘密,許茹芸,許茹芸的微醺音樂 你聽見了(我)嗎,,,1,4,2026-07-17T01:19:55
2026-07-16,07/16,02:54,孤獨是會上癮的,吳克群,人生超幽默,,,1,4,2026-07-17T01:19:55
2026-07-16,07/16,02:58,無底深淵,演奏曲,日劇 小海女 電視原聲帶,,,1,4,2026-07-17T01:19:55
2026-07-16,07/16,03:00,為愛痴狂,劉若英,少女小漁劉若英的美麗與哀愁,,,1,4,2026-07-17T01:19:55
2026-07-16,07/16,03:05,I'LL BE MISSING YOU,PUFF DADDY(吹牛老爹) / FAITH EVANS / 112,NO WAY OUT(窮途末路),,,1,4,2026-07-17T01:19:55
2026-07-16,07/16,03:09,FOREVER YOUNG(國),艾怡良,"垂直活著,水平留戀著",,,1,4,2026-07-17T01:19:55
2026-07-16,07/16,03:15,"NO MORE ""I LOVE YOU'S""",ANNIE LENNOX,MEDUSA(瑪杜莎),,,1,4,2026-07-17T01:19:55
2026-07-16,07/16,03:20,可惜不是你,梁靜茹,絲路,,,1,4,2026-07-17T01:19:55
2026-07-16,07/16,03:24,以為你都知道,張雨生,六個朋友 合輯,,,1,4,2026-07-17T01:19:55
2026-07-16,07/16,03:29,好想談戀愛,范曉萱,好想談戀愛,,,1,5,2026-07-17T01:19:56
2026-07-16,07/16,03:33,星星堆滿天,老王樂隊,滾石40系列「滾石撞樂隊，40團拼經典」,,,1,5,2026-07-17T01:19:56
2026-07-16,07/16,03:39,LOVE(韓),CNBLUE,BLUE LOVE,,,1,5,2026-07-17T01:19:56
2026-07-16,07/16,03:42,NOTHIN' ON YOU,B.O.B(巴比瑞) / BRUNO MARS,B.O.B PRESENTS THE ADVENTURES OF BOBBY RAY(嘻哈冒險旅程),,,1,5,2026-07-17T01:19:56
2026-07-16,07/16,03:46,一天一點愛戀,梁朝偉,一天一點愛戀,,,1,5,2026-07-17T01:19:56
2026-07-16,07/16,03:50,原諒我,阿沁,,,,1,5,2026-07-17T01:19:56
2026-07-16,07/16,03:55,想和你去吹吹風,張學友,想和你去吹吹風,,,1,5,2026-07-17T01:19:56
2026-07-16,07/16,04:00,天天想你,張清芳,雙陳故事,,,1,5,2026-07-17T01:19:56
2026-07-16,07/16,04:05,情鎖,蔡琴,傷心小站,,,1,5,2026-07-17T01:19:56
2026-07-16,07/16,04:09,PRICELESS,MAROON 5 / LISA(BLACKPINK),LOVE IS LIKE,,,1,5,2026-07-17T01:19:56
2026-07-16,07/16,04:11,別問我,韋禮安,旋風管家 電視原聲帶,,,1,5,2026-07-17T01:19:56
2026-07-16,07/16,04:15,愛的副作用,張玉華,屬於自己,,,1,5,2026-07-17T01:19:56
2026-07-16,07/16,04:19,全世界的孤單,羅文裕(WING),苦甜人生,,,1,6,2026-07-17T01:19:58
2026-07-16,07/16,04:23,STAY WITH ME,孫盛希,,,,1,6,2026-07-17T01:19:58
2026-07-16,07/16,04:26,小天堂,周華健,小天堂,,,1,6,2026-07-17T01:19:58
2026-07-16,07/16,04:29,距離,林俊傑,第二天堂,,,1,6,2026-07-17T01:19:58
2026-07-16,07/16,04:34,散了吧,林志炫,散了吧,,,1,6,2026-07-17T01:19:58
2026-07-16,07/16,04:38,勢在必行,Bii畢書盡 / 陳勢安,勢在必行單曲,,,1,6,2026-07-17T01:19:58
