日期,日期_mmdd,播出時間,歌曲名稱,演唱(奏)者,專輯,出版者,CD編號,dt_days_ago,page,scraped_at
2026-07-05,07/05,01:42,揣無自己彼單純的心,阿斌 黃奇斌,,,,1,2,2026-07-06T01:14:21
2026-07-05,07/05,01:46,相愛時候到了,林憶蓮 / 風火海,心醉神迷滿天星 合輯,,,1,2,2026-07-06T01:14:21
2026-07-05,07/05,01:50,I MISS YOU,KLYMAXX,ALL MY LOVING(愛情的天空),,,1,2,2026-07-06T01:14:21
2026-07-05,07/05,01:55,我不要再比了,吳克群,人生超幽默,,,1,2,2026-07-06T01:14:21
2026-07-05,07/05,02:00,披星戴月的想你,告五人,我肯定在幾百年前就說過愛你,,,1,2,2026-07-06T01:14:21
2026-07-05,07/05,02:08,THANK GOD I FOUND YOU,MARIAH CAREY / 98 DEGREES,RAINBOW(七色彩虹),,,1,2,2026-07-06T01:14:21
2026-07-05,07/05,02:12,她說,林俊傑,她說,,,1,2,2026-07-06T01:14:21
2026-07-05,07/05,02:17,NEW YORK STATE OF MIND,BARBRA STREISAND / BILLY JOEL,世紀傳情PARTNERS豪華典藏版2CD,,,1,2,2026-07-06T01:14:21
2026-07-05,07/05,02:23,情人(粵),G.E.M.鄧紫棋,T.I.M.E (EP),,,1,2,2026-07-06T01:14:21
2026-07-05,07/05,02:28,愛情十萬個為什麼,文慧如,親愛的你__怎樣的我,,,1,2,2026-07-06T01:14:21
2026-07-05,07/05,02:32,放開你的頭腦,溫嵐(LANDY),DANCING QUEEN,,,1,2,2026-07-06T01:14:21
2026-07-05,07/05,02:37,閃爍的愛(日),小田和正,超越自我最精選,,,1,2,2026-07-06T01:14:21
2026-07-05,07/05,02:42,永遠不再,動力火車,做工的人 戲劇原創音樂EP 第二章,,,1,3,2026-07-06T01:14:22
2026-07-05,07/05,02:47,足芳足芳,李竺芯,SUI水,,,1,3,2026-07-06T01:14:22
2026-07-05,07/05,02:50,SO FAR AWAY,羊毛與千葉花,LIVE IN LIVING FOR GOOD NIGHT,,,1,3,2026-07-06T01:14:22
2026-07-05,07/05,02:54,藍天(LIVE),黃小琥,VOICE 2 琥魅人生現場演唱全紀錄,,,1,3,2026-07-06T01:14:22
2026-07-05,07/05,03:00,流沙,陶喆,陶喆,,,1,3,2026-07-06T01:14:22
2026-07-05,07/05,03:04,男人KTV,黃文星,天地,,,1,3,2026-07-06T01:14:22
2026-07-05,07/05,03:09,仰望星空(日),夏川里美,經典美聲之旅~經典名曲重唱精選~,,,1,3,2026-07-06T01:14:22
2026-07-05,07/05,03:14,被風吹過的夏天,金莎 / 林俊傑,不可思議 金選,,,1,3,2026-07-06T01:14:22
2026-07-05,07/05,03:18,輸了你贏了世界又如何,優客李林,悍衛愛情,,,1,3,2026-07-06T01:14:22
2026-07-05,07/05,03:23,偷心,張學友,偷心,,,1,3,2026-07-06T01:14:22
2026-07-05,07/05,03:27,DON'T DREAM IT'S OVER,SIXPENCE NONE THE RICHER,DIVINE DISCONTENT(發現幸福),,,1,3,2026-07-06T01:14:22
2026-07-05,07/05,03:32,MY WAY(國),Miu朱俐靜,MY WAY,,,1,3,2026-07-06T01:14:22
2026-07-05,07/05,03:35,懂不懂,楊采妮,懂不懂,,,1,4,2026-07-06T01:14:24
2026-07-05,07/05,03:39,TIME AFTER TIME,CYNDI LAUPER,SHE'S SO UNUSUAL(她非比尋常),,,1,4,2026-07-06T01:14:24
2026-07-05,07/05,03:43,巴蕊,D.L羅時豐,,,,1,4,2026-07-06T01:14:24
2026-07-05,07/05,03:46,飄洋過海來看你,劉明湘,我不要再比了,,,1,4,2026-07-06T01:14:24
2026-07-05,07/05,03:51,善男信女,蕭敬騰,王妃,,,1,4,2026-07-06T01:14:24
2026-07-05,07/05,03:56,BESAME MUCHO,ANDREA BOCELLI,AMORE(愛慕) CD+DVD典藏版,,,1,4,2026-07-06T01:14:24
2026-07-05,07/05,04:00,妳知道我在等你嗎,張洪量,心愛妹妹的眼睛,,,1,4,2026-07-06T01:14:24
2026-07-05,07/05,04:04,我是如此愛你,侯湘婷,17 18 19 侯湘婷 新曲+精選,,,1,4,2026-07-06T01:14:24
2026-07-05,07/05,04:09,情人知己,梁文音,情人X知己,,,1,4,2026-07-06T01:14:24
2026-07-05,07/05,04:14,梅蘭梅蘭我愛你,姜育恆,我家在哪裡,,,1,4,2026-07-06T01:14:24
2026-07-05,07/05,04:18,愛情機器(日),早安少女組,早安少女組獨一無二真精選,,,1,4,2026-07-06T01:14:24
2026-07-05,07/05,04:23,愛情傅偏達,李吳兄弟,PRIDE,,,1,4,2026-07-06T01:14:24
2026-07-05,07/05,04:28,躺在你的衣櫃(吉它版),陳綺貞,吉它手 GROUPIES,,,1,5,2026-07-06T01:14:25
2026-07-05,07/05,04:33,ENGLISHMAN IN NEW YORK,羊毛與千葉花,LIVE IN LIVING FOR GOOD NIGHT,,,1,5,2026-07-06T01:14:25
